seed,algorithm,mu,local_epochs,round,n_sampled,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_f1_class_5,val_f1_class_6
123,fedprox,0.01,20,35,7,0.029308994223011618,1.4530331573838131,0.7417746759720838,0.4385166134580655,0.4382256362762246,0.34285714285714286,0.5242718446601942,0.2589928057553957,0.13333333333333333,0.3431952662721893,0.8766937669376694,0.5882352941176471
123,fedprox,0.01,20,36,7,0.043677042932381616,1.4447795553197889,0.7467597208374875,0.44099314614537094,0.4436941294774863,0.36619718309859156,0.5272727272727272,0.32432432432432434,0.14285714285714285,0.32051282051282054,0.8792401628222524,0.5454545454545454
123,fedprox,0.01,20,37,7,0.02746461840411315,1.4437001262562106,0.7417746759720838,0.4382529901265264,0.436561850551014,0.37333333333333335,0.5185185185185185,0.2937062937062937,0.13333333333333333,0.31446540880503143,0.8771215207060421,0.5454545454545454
123,fedprox,0.01,20,38,7,0.026978698708297163,1.4417140445823327,0.7397806580259222,0.4445609678630756,0.441145465048033,0.3888888888888889,0.5185185185185185,0.2553191489361702,0.13333333333333333,0.3105590062111801,0.8753387533875339,0.6060606060606061
123,fedprox,0.01,20,39,7,0.029664960308409583,1.5066463856968066,0.7387836490528414,0.42018557533780015,0.4291464629178017,0.3492063492063492,0.49523809523809526,0.2777777777777778,0.125,0.32098765432098764,0.8733153638814016,0.5625
123,fedprox,0.01,20,40,7,0.02602283304726781,1.4603715864040796,0.7397806580259222,0.4425579642207277,0.43783127858549375,0.3561643835616438,0.5233644859813084,0.22727272727272727,0.14285714285714285,0.35294117647058826,0.8739837398373984,0.5882352941176471
123,fedprox,0.01,20,41,7,0.025406522689700478,1.4565759089033483,0.7377866400797607,0.44499386829597604,0.43541326755478665,0.38461538461538464,0.5185185185185185,0.2222222222222222,0.14285714285714285,0.3184713375796178,0.8729729729729729,0.5882352941176471
123,fedprox,0.01,20,42,7,0.020314874371585485,1.4216192642213816,0.7387836490528414,0.43115582647198575,0.4396027730031188,0.35294117647058826,0.5094339622641509,0.3055555555555556,0.125,0.33136094674556216,0.8722826086956522,0.5806451612903226
123,fedprox,0.01,20,43,7,0.024986171847950937,1.4461948032512266,0.7427716849451645,0.45779487617895115,0.4577082793979318,0.37142857142857144,0.5242718446601942,0.3,0.2222222222222222,0.3391812865497076,0.8754254594962559,0.5714285714285714
123,fedprox,0.01,20,44,7,0.02448298039801132,1.4445157039201153,0.7437686939182453,0.450586049180897,0.4595855933944949,0.37142857142857144,0.5233644859813084,0.32653061224489793,0.23529411764705882,0.32298136645962733,0.875,0.5625
123,fedprox,0.01,20,45,7,0.023591059294640913,1.4338138829675295,0.7407776669990029,0.4629454264114686,0.46531842626966696,0.37333333333333335,0.5233644859813084,0.2937062937062937,0.26666666666666666,0.3393939393939394,0.8725289706884799,0.5882352941176471
123,fedprox,0.01,20,46,7,0.021872377896681987,1.4575691274251206,0.744765702891326,0.45971603137879485,0.4610980211615249,0.36619718309859156,0.5436893203883495,0.3287671232876712,0.2222222222222222,0.3225806451612903,0.8728010825439784,0.5714285714285714
123,fedprox,0.01,20,47,7,0.030913607080809844,1.4771742334632074,0.7397806580259222,0.43479688339173117,0.43883747758217123,0.3561643835616438,0.5233644859813084,0.3076923076923077,0.14285714285714285,0.3048780487804878,0.8744059742023083,0.5625
123,fedprox,0.01,20,48,7,0.02498289591747534,1.4187819837691895,0.7407776669990029,0.4527255178309043,0.4422867500381636,0.36363636363636365,0.5420560747663551,0.3120567375886525,0.125,0.325,0.8727025187202179,0.5555555555555556
123,fedprox,0.01,20,49,7,0.020689544512023098,1.4660736623100366,0.7377866400797607,0.4473574624628488,0.4412755625389849,0.37333333333333335,0.5333333333333333,0.26277372262773724,0.125,0.33532934131736525,0.8709239130434783,0.5882352941176471
123,fedprox,0.01,20,50,7,0.020997026865393544,1.4157645067688476,0.7397806580259222,0.45446521957060604,0.46202238061880074,0.3333333333333333,0.5333333333333333,0.2608695652173913,0.23529411764705882,0.3522727272727273,0.8738922972051807,0.6451612903225806
123,fedprox,0.01,20,51,7,0.016958516603720143,1.4421755278692883,0.7427716849451645,0.4498418000759921,0.46033073609199626,0.35443037974683544,0.5046728971962616,0.34838709677419355,0.25,0.2896551724137931,0.8751696065128901,0.6
123,fedprox,0.01,20,52,7,0.023022865379107454,1.4258335122795904,0.7417746759720838,0.45674667021271237,0.4643123227476185,0.3380281690140845,0.5094339622641509,0.348993288590604,0.25,0.32335329341317365,0.8743169398907104,0.6060606060606061
123,fedprox,0.01,20,53,7,0.026724928936300026,1.4292806839776537,0.7417746759720838,0.4535126718967469,0.4579860037061635,0.3380281690140845,0.5242718446601942,0.32679738562091504,0.2222222222222222,0.3125,0.8760217983651226,0.6060606060606061
123,fedprox,0.01,20,54,7,0.020835603480928,1.4460671788317374,0.7387836490528414,0.4428710865479016,0.45746124473823796,0.34285714285714286,0.5242718446601942,0.3221476510067114,0.2222222222222222,0.32098765432098764,0.8697421981004071,0.6
123,fedprox,0.01,20,55,7,0.015918283654490828,1.4402954642580132,0.7308075772681955,0.4275732696107403,0.429704730609333,0.36363636363636365,0.49056603773584906,0.2446043165467626,0.125,0.3151515151515151,0.8689748811948405,0.6
123,fedprox,0.01,20,56,7,0.020549857646927714,1.4067091682734543,0.7417746759720838,0.45203262041669534,0.4516503469016545,0.38461538461538464,0.5,0.34210526315789475,0.14285714285714285,0.29333333333333333,0.873641304347826,0.625
123,fedprox,0.01,20,57,7,0.01554421934280092,1.4155584120916822,0.7407776669990029,0.45593222103760744,0.4628157860345246,0.35135135135135137,0.5098039215686274,0.31724137931034485,0.25,0.33136094674556216,0.8738922972051807,0.6060606060606061
123,fedprox,0.01,20,58,7,0.021303977111101373,1.4219016213478857,0.7387836490528414,0.4514309434684142,0.4575507162816332,0.3684210526315789,0.5333333333333333,0.2773722627737226,0.23529411764705882,0.3352601156069364,0.8725289706884799,0.5806451612903226
123,fedprox,0.01,20,59,7,0.02044724506213648,1.4137158096728035,0.744765702891326,0.46355157701761923,0.466611163586745,0.34782608695652173,0.5523809523809524,0.3660130718954248,0.23529411764705882,0.31901840490797545,0.8743169398907104,0.5714285714285714
123,fedprox,0.01,20,60,7,0.019182871994862672,1.43745833082665,0.7437686939182453,0.4620842804683555,0.4655410686282481,0.35135135135135137,0.5471698113207547,0.35443037974683544,0.2222222222222222,0.28378378378378377,0.8748299319727891,0.625
123,fedprox,0.01,20,61,7,0.019758207269459253,1.4617271186822909,0.7318045862412762,0.4477191595458575,0.4405509485104364,0.34285714285714286,0.5420560747663551,0.2,0.25,0.32222222222222224,0.8711656441717791,0.5555555555555556
123,fedprox,0.01,20,62,7,0.01725611097488516,1.4082688808678867,0.7427716849451645,0.4667852286119265,0.47563244829560736,0.2807017543859649,0.52,0.3855421686746988,0.34782608695652173,0.3151515151515151,0.8741450068399452,0.6060606060606061
123,fedprox,0.01,20,63,7,0.021394494026964802,1.4171126542514485,0.7387836490528414,0.45640575008256506,0.46142461098358406,0.4050632911392405,0.509090909090909,0.23880597014925373,0.26666666666666666,0.3352601156069364,0.875085324232082,0.6
123,fedprox,0.01,20,64,7,0.016594282100060816,1.422081477145255,0.7407776669990029,0.4701269319536298,0.4703352088219353,0.41025641025641024,0.5283018867924528,0.3150684931506849,0.23529411764705882,0.3048780487804878,0.8735475051264525,0.625
123,fedprox,0.01,20,65,7,0.01938398507722206,1.4003186688228237,0.744765702891326,0.4593181793415985,0.46159176658856094,0.3611111111111111,0.5294117647058824,0.3194444444444444,0.2222222222222222,0.3333333333333333,0.8773841961852861,0.5882352941176471
123,fedprox,0.01,20,66,7,0.020898149767754285,1.390919736945855,0.748753738783649,0.46448148450490373,0.47469108659883524,0.2903225806451613,0.5490196078431373,0.38323353293413176,0.3157894736842105,0.31645569620253167,0.8797814207650273,0.5882352941176471
123,fedprox,0.01,20,67,7,0.012181005953921123,1.5034483302744888,0.7387836490528414,0.44789801628209125,0.4351447126339646,0.358974358974359,0.5272727272727272,0.20155038759689922,0.15384615384615385,0.3563218390804598,0.8766189502385822,0.5714285714285714
