round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_loss_flower,train_loss_weighted,algorithm,mu,seed,local_epochs
31,1.3803637467495584,0.7647058823529411,0.47946801810970424,0.5012078336783883,1.3803637467495584,0.027839806030940557,fedprox,0.01,42,20
32,1.3779586245745035,0.765702891326022,0.492194750625664,0.506201743515288,1.3779586245745035,0.034660235115849515,fedprox,0.01,42,20
33,1.3429567117396286,0.765702891326022,0.48999472371837705,0.5149173064119188,1.3429567117396286,0.03714815891531009,fedprox,0.01,42,20
34,1.3659601014252318,0.765702891326022,0.4988452039974288,0.5119763472903498,1.3659601014252318,0.034337227751927615,fedprox,0.01,42,20
35,1.3549470917534376,0.7676969092721835,0.5094792162707853,0.5226553769238617,1.3549470917534376,0.039771072376496505,fedprox,0.01,42,20
36,1.3444066813674311,0.7706879361914257,0.5042178110093801,0.523242251571135,1.3444066813674311,0.03510250490734894,fedprox,0.01,42,20
37,1.4244849835174271,0.7587238285144566,0.4761257361959938,0.49455990561015867,1.4244849835174271,0.04162549242152928,fedprox,0.01,42,20
38,1.3592785855946488,0.7627118644067796,0.47775918619009955,0.4975681825262507,1.3592785855946488,0.0274370231271284,fedprox,0.01,42,20
39,1.3611880093961508,0.7666999002991027,0.4844025428334562,0.49992389874274284,1.3611880093961508,0.03239689958585402,fedprox,0.01,42,20
40,1.374006945019586,0.7567298105682951,0.45610106289263197,0.4774144446741895,1.374006945019586,0.04157920173156598,fedprox,0.01,42,20
41,1.3365808690889764,0.765702891326022,0.4887548955464646,0.5041772853371219,1.3365808690889764,0.030005509097199564,fedprox,0.01,42,20
42,1.3567807752850762,0.7597208374875374,0.4806233357755606,0.49103758156365285,1.3567807752850762,0.027217006842843124,fedprox,0.01,42,20
43,1.3448739473746043,0.7637088733798604,0.4830149332491253,0.49765869389387024,1.3448739473746043,0.03146258760217662,fedprox,0.01,42,20
44,1.3219410841866719,0.765702891326022,0.4871472873814794,0.5003316543625894,1.3219410841866719,0.0313103081873375,fedprox,0.01,42,20
45,1.3246397218580617,0.7617148554336989,0.49668634528119304,0.5068552234332306,1.3246397218580617,0.0319929737212137,fedprox,0.01,42,20
46,1.3408708072017697,0.7567298105682951,0.48821683517233866,0.49583600816969203,1.3408708072017697,0.03087698664604825,fedprox,0.01,42,20
47,1.385253029354548,0.7597208374875374,0.4869776372118292,0.503625350464615,1.385253029354548,0.031038203185018667,fedprox,0.01,42,20
48,1.3423941865756528,0.7597208374875374,0.47290022149506933,0.48078669108380057,1.3423941865756528,0.03054524264923443,fedprox,0.01,42,20
49,1.3401605359103126,0.7587238285144566,0.47970052501668425,0.4875338260739242,1.3401605359103126,0.028566985908302662,fedprox,0.01,42,20
50,1.2913889649620323,0.7637088733798604,0.4913374333749041,0.496373737147877,1.2913889649620323,0.030357959147815555,fedprox,0.01,42,20
