round,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,balanced_accuracy,worst_class_f1
15,0.325,0.3939393939393939,0.0,0.0,0.4630541871921182,0.42727272727272725,0.0,0.0,0.14754098360655737,0.08108108108108109,0.8614576493762311,0.977645305514158,0.0,0.0,0.26856264397248003,0.0
16,0.25806451612903225,0.24242424242424243,0.0,0.0,0.32298136645962733,0.23636363636363636,0.0,0.0,0.017857142857142856,0.009009009009009009,0.8361581920903954,0.992548435171386,0.0,0.0,0.21147790328118196,0.0
17,0.3125,0.30303030303030304,0.0,0.0,0.33986928104575165,0.23636363636363636,0.0,0.0,0.035398230088495575,0.018018018018018018,0.8347934918648311,0.9940387481371088,0.0,0.0,0.22163581507843805,0.0
18,0.3333333333333333,0.36363636363636365,0.0,0.0,0.43349753694581283,0.4,0.0,0.0,0.06896551724137931,0.036036036036036036,0.8562134027325959,0.9806259314456036,0.0,0.0,0.25432833301685764,0.0
19,0.32098765432098764,0.3939393939393939,0.0,0.0,0.40625,0.35454545454545455,0.0,0.0,0.017857142857142856,0.009009009009009009,0.8515878159429683,0.9791356184798807,0.0,0.0,0.2480899251391055,0.0
20,0.33766233766233766,0.3939393939393939,0.0,0.0,0.3473053892215569,0.2636363636363636,0.0,0.0,0.0847457627118644,0.04504504504504504,0.8403575989782887,0.9806259314456036,0.0,0.0,0.24046381915234374,0.0
21,0.34210526315789475,0.3939393939393939,0.0,0.0,0.4117647058823529,0.3181818181818182,0.0,0.0,0.16260162601626016,0.09009009009009009,0.846696600384862,0.9836065573770492,0.0,0.0,0.2551168370840502,0.0
22,0.34782608695652173,0.36363636363636365,0.0,0.0,0.42105263157894735,0.32727272727272727,0.0,0.0,0.176,0.0990990990990991,0.8445297504798465,0.9836065573770492,0.0,0.0,0.25337353534074847,0.0
23,0.3287671232876712,0.36363636363636365,0.0,0.0,0.4824120603015075,0.43636363636363634,0.0,0.0,0.21875,0.12612612612612611,0.8599476439790575,0.9791356184798807,0.0,0.0,0.27218024922942957,0.0
24,0.3287671232876712,0.36363636363636365,0.0,0.0,0.49760765550239233,0.4727272727272727,0.0,0.0,0.08620689655172414,0.04504504504504504,0.8614379084967321,0.9821162444113264,0.0,0.0,0.2662178465457154,0.0
25,0.31746031746031744,0.30303030303030304,0.0,0.0,0.3954802259887006,0.3181818181818182,0.0,0.0,0.1875,0.10810810810810811,0.8461538461538461,0.9836065573770492,0.0,0.0,0.24470382667103976,0.0
26,0.3373493975903614,0.42424242424242425,0.0,0.0,0.4235294117647059,0.32727272727272727,0.0,0.0,0.14754098360655737,0.08108108108108109,0.8486799742433999,0.9821162444113264,0.0,0.0,0.25924463957250843,0.0
