seed,round,a_eff,mean_tau,global_update_norm,straggler_share,dominating_cid,max_contribution_share,max_amp,server_lr,source
161803,16,5146.753246762233,523.6753246753246,,0.1591088317422089,1,0.18460056379313516,2.7231498658988174,,reconstructed
161803,17,4912.5085475852575,500.2424718139004,,0.12796948774432773,4,0.3321735334520446,14.000824796316326,,reconstructed
161803,18,4197.935163828109,428.792635935493,,0.4758715184709438,3,0.4758715184709438,6.88122478229374,,reconstructed
161803,19,4500.698097167922,459.06978735550166,,0.3825636305411106,4,0.3825636305411106,4.688220291002334,,reconstructed
161803,20,5507.622377622379,559.7622377622378,,0.10077629608052319,0,0.16619693875890315,1.6057208098024423,,reconstructed
161803,21,4066.375053699462,415.637505351791,,0.23001808743895452,5,0.23001808743895452,2.449623525019789,,reconstructed
161803,22,4699.248582570825,478.92478949621807,,0.294426837101873,0,0.294426837101873,5.594310264561416,,reconstructed
161803,23,4961.2944208657345,505.1294419865848,,0.22755375013674617,1,0.22755375013674617,3.3981468466741798,,reconstructed
161803,24,4086.7361221608508,417.6736121021835,,0.16498016699340598,3,0.28972097540936737,2.7991343162994653,,reconstructed
161803,25,5087.167118595696,517.7167118595689,,0.16812459826951465,4,0.2745621250907163,1.8841359698502462,,reconstructed
161803,26,4678.286005311951,476.82859997145704,,0.3270565545694115,4,0.3270565545694115,3.571210594753051,,reconstructed
161803,27,5347.492507492509,543.7492507492508,,0.18253785592086388,0,0.18285839300245427,1.3572316008864231,,reconstructed
161803,28,3670.410787338947,375.993006993007,,0.25722964917330254,2,0.3616715427182112,16.427293882381022,,reconstructed
161803,29,4032.244909037333,412.1772513201085,,0.3740827456656825,0,0.3740827456656825,18.04671900894076,,reconstructed
161803,30,4488.456184163377,457.84472670186955,,0.5220342982602767,5,0.5220342982602767,7.357444725406269,,reconstructed
161803,31,4788.7794250175975,487.8695590124162,,0.42953829884533057,6,0.42953829884533057,13.648192378379207,,reconstructed
161803,32,4682.37905510933,477.23790495219066,,0.42067218819492513,5,0.42067218819492513,3.574335060162958,,reconstructed
161803,33,3759.885834054726,384.98858284572566,,0.1871915347123572,2,0.22378462212797443,2.870141780641905,,reconstructed
161803,34,4912.614751941719,500.2614528328814,,0.38125496733811365,4,0.38125496733811365,5.117299508808013,,reconstructed
161803,35,5537.408305979736,562.7408305979734,,0.11771139460063917,0,0.22587289403557168,1.8519760220668002,,reconstructed
161803,36,5127.0500927651765,521.7050092764377,,0.09338757782415133,0,0.21012070384683848,2.4298815605433255,,reconstructed
161803,37,5109.21079021062,519.9210789210789,,0.24326088492502224,1,0.24326088492502224,3.4994594279124254,,reconstructed
161803,38,4947.650920648183,503.7650920508063,,0.3158253955836331,4,0.3158253955836331,2.9805126012120584,,reconstructed
161803,39,4117.662691941315,420.7653774796632,,0.38662200076794356,5,0.38662200076794356,6.749642730326154,,reconstructed
161803,40,3755.389471884148,384.483373769088,,0.2864607083331852,1,0.2864607083331852,16.80762456078289,,reconstructed
161803,41,4000.8614729903666,409.0843442272014,,0.33589305509231665,0,0.33589305509231665,7.546929829631999,,reconstructed
161803,42,3979.0024372494026,406.9002426145283,,0.2405071832374587,3,0.2799621517617133,3.0374063587217037,,reconstructed
161803,43,4281.930931738436,437.19309262166405,,0.2934624714179366,2,0.2934624714179366,3.268649478048627,,reconstructed
161803,44,4122.936007245005,421.29270729270723,,0.40777973473183715,4,0.40777973473183715,6.758286710410762,,reconstructed
161803,45,4979.0466676180995,506.9046667618096,,0.160279324414449,2,0.19474654868123556,1.837286593217001,,reconstructed
161803,46,4524.909376338042,461.4909376337947,,0.254587607842938,2,0.254587607842938,1.9173344814987199,,reconstructed
161803,47,4518.622256616191,460.82660196945915,,0.5201864009498849,5,0.5201864009498849,17.230022208340092,,reconstructed
161803,48,4924.295706072949,501.4295704295704,,0.19101284435015567,0,0.27491866841388984,3.396065985256214,,reconstructed
161803,49,3944.1310675572777,403.4130155558727,,0.23944465970675283,4,0.37305555687554093,4.695366190638991,,reconstructed
161803,50,4723.729545239899,481.3239617525332,,0.30572699973527756,1,0.30572699973527756,21.141528280217543,,reconstructed
161803,51,4779.835878408764,486.98358784073065,,0.18683963368928289,1,0.18683963368928289,2.297998018454052,,reconstructed
161803,52,3793.6508981080337,388.32938490081347,,0.49246680589639225,5,0.49246680589639225,14.465623704080027,,reconstructed
