round,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,loss
14,0.7168494516450648,0.28205156237943124,0.24754971707485665,0.0,0.0,0.11428571428571428,0.06060606060606061,0.4819277108433735,0.7692307692307693,0.05128205128205128,0.02727272727272727,0.0,0.0,0.2222222222222222,0.13513513513513514,0.8631303208906352,0.9821162444113264,0.0,0.0,0.8377588249275002
15,0.6889332003988036,0.29489122287717134,0.2693609375361965,0.0,0.0,0.2857142857142857,0.5151515151515151,0.10526315789473684,0.057692307692307696,0.08695652173913043,0.045454545454545456,0.0,0.0,0.42677824267782427,0.4594594594594595,0.8474810213940649,0.9150521609538003,0.13333333333333333,0.07142857142857142,0.8128511947268622
16,0.5742771684945165,0.4013119800005046,0.380315228900682,0.0,0.0,0.25806451612903225,0.24242424242424243,0.3380281690140845,0.23076923076923078,0.3617021276595745,0.3090909090909091,0.0,0.0,0.38113207547169814,0.9099099099099099,0.739946380697051,0.61698956780924,0.5833333333333334,0.5,1.197415008026724
17,0.7138584247258225,0.2881762097218772,0.2673575303264557,0.0,0.0,0.0,0.0,0.4779874213836478,0.7307692307692307,0.15503875968992248,0.09090909090909091,0.0,0.0,0.13114754098360656,0.07207207207207207,0.857328990228013,0.9806259314456036,0.25,0.14285714285714285,0.8561935474722835
18,0.6989032901296112,0.2870896504385966,0.258683733846821,0.0,0.0,0.32116788321167883,0.6666666666666666,0.03571428571428571,0.019230769230769232,0.1016949152542373,0.05454545454545454,0.0,0.0,0.2463768115942029,0.15315315315315314,0.8558322411533421,0.9731743666169895,0.25,0.14285714285714285,0.8739116213851769
19,0.18344965104685942,0.3109528180956752,0.20363954388706926,0.0,0.0,0.27586206896551724,0.24242424242424243,0.10909090909090909,0.057692307692307696,0.21460506706408347,0.6545454545454545,0.0,0.0,0.3713733075435203,0.8648648648648649,0.0,0.0,0.45454545454545453,0.35714285714285715,2.520554262524469
20,0.6859421734795613,0.24702190861441445,0.18745496927315108,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.845518118245391,0.9910581222056631,0.13333333333333333,0.07142857142857142,1.1331887311735753
21,0.23928215353938184,0.3840299835615995,0.25487936137330497,0.0,0.0,0.11428571428571428,0.06060606060606061,0.4485981308411215,0.46153846153846156,0.2,0.5454545454545454,0.0,0.0,0.37782340862423,0.8288288288288288,0.14344827586206896,0.07749627421758569,0.5,0.7142857142857143,1.5559326283121158
22,0.711864406779661,0.3609867673099523,0.34681531984853614,0.0,0.0,0.34408602150537637,0.48484848484848486,0.10526315789473684,0.057692307692307696,0.0,0.0,0.1935483870967742,0.25,0.41228070175438597,0.42342342342342343,0.8725289706884799,0.9538002980625931,0.5,0.35714285714285715,0.9138285118941653
23,0.5483549351944168,0.306287215537801,0.25816104528498424,0.0,0.0,0.20833333333333334,0.15151515151515152,0.07142857142857142,0.038461538461538464,0.0,0.0,0.17647058823529413,0.25,0.36396396396396397,0.9099099099099099,0.7369308600337268,0.6512667660208644,0.25,0.14285714285714285,1.346067283113124
24,0.7068793619142573,0.3066910429908088,0.3076672192040313,0.017699115044247787,0.009009009009009009,0.3380281690140845,0.36363636363636365,0.5106382978723404,0.46153846153846156,0.018018018018018018,0.00909090909090909,0.17391304347826086,0.16666666666666666,0.017699115044247787,0.009009009009009009,0.8453738910012675,0.9940387481371088,0.25,0.14285714285714285,1.0599153380569883
25,0.6311066799601196,0.38347048862271343,0.3378743572057998,0.0,0.0,0.0,0.0,0.4788732394366197,0.6538461538461539,0.4583333333333333,0.6,0.0,0.0,0.38372093023255816,0.5945945945945946,0.7941929974380871,0.6929955290611028,0.25,0.14285714285714285,0.9296115784797212
26,0.7437686939182453,0.37920077053566514,0.39774304631853286,0.14285714285714285,0.08333333333333333,0.3673469387755102,0.2727272727272727,0.5540540540540541,0.7884615384615384,0.2,0.12727272727272726,0.14285714285714285,0.08333333333333333,0.2857142857142857,0.1891891891891892,0.8812877263581489,0.9791356184798807,0.35294117647058826,0.21428571428571427,0.7178600188029014
27,0.18843469591226322,0.3385743347101661,0.24174758553065803,0.0,0.0,0.05263157894736842,0.030303030303030304,0.2727272727272727,0.17307692307692307,0.21733821733821734,0.8090909090909091,0.0,0.0,0.42359249329758714,0.7117117117117117,0.005943536404160475,0.0029806259314456036,0.72,0.6428571428571429,2.6591482702066984
28,0.6101694915254238,0.32941900810753266,0.25623626419615503,0.0,0.0,0.27419354838709675,0.5151515151515151,0.0,0.0,0.30344827586206896,0.2,0.0,0.0,0.41702127659574467,0.8828828828828829,0.798990748528175,0.7078986587183308,0.0,0.0,1.1537033744966045
29,0.6909272183449651,0.24915528381570537,0.21960420531849104,0.0,0.0,0.32727272727272727,0.5454545454545454,0.0,0.0,0.03571428571428571,0.01818181818181818,0.0,0.0,0.08333333333333333,0.04504504504504504,0.8409090909090909,0.992548435171386,0.25,0.14285714285714285,1.107283079968849
30,0.7248255234297108,0.33541836352140797,0.34972343746430035,0.034782608695652174,0.018018018018018018,0.42857142857142855,0.45454545454545453,0.47619047619047616,0.4807692307692308,0.28169014084507044,0.18181818181818182,0.11764705882352941,0.08333333333333333,0.034782608695652174,0.018018018018018018,0.8591823491239455,0.9865871833084948,0.25,0.14285714285714285,0.836552450093529
31,0.7198404785643071,0.33898414917150277,0.34058706501596364,0.0,0.0,0.36363636363636365,0.6060606060606061,0.16393442622950818,0.09615384615384616,0.19696969696969696,0.11818181818181818,0.0,0.0,0.44329896907216493,0.38738738738738737,0.8633288227334236,0.9508196721311475,0.35294117647058826,0.21428571428571427,0.8016598635870343
32,0.711864406779661,0.3129280197195888,0.28749954720541476,0.0,0.0,0.366412213740458,0.7272727272727273,0.0,0.0,0.2972972972972973,0.2,0.0,0.0,0.2328767123287671,0.15315315315315314,0.8659106070713809,0.9672131147540983,0.25,0.14285714285714285,0.9575482827953897
33,0.711864406779661,0.3433972508913961,0.30525739318715994,0.11764705882352941,0.07142857142857142,0.16666666666666666,0.09090909090909091,0.4533333333333333,0.9807692307692307,0.2222222222222222,0.13636363636363635,0.11764705882352941,0.08333333333333333,0.171875,0.0990990990990991,0.8717241379310345,0.9418777943368107,0.13333333333333333,0.07142857142857142,0.8962500854242121
34,0.7018943170488534,0.3130510395147397,0.29545689084940696,0.0,0.0,0.3516483516483517,0.48484848484848486,0.449438202247191,0.38461538461538464,0.05309734513274336,0.02727272727272727,0.1111111111111111,0.16666666666666666,0.0,0.0,0.8529032258064516,0.9850968703427719,0.25,0.14285714285714285,1.1694327717645099
35,0.6829511465603191,0.44419534407824807,0.40150093909892837,0.0,0.0,0.3883495145631068,0.6060606060606061,0.45161290322580644,0.40384615384615385,0.0,0.0,0.11764705882352941,0.16666666666666666,0.4539877300613497,0.6666666666666666,0.853454821564161,0.8375558867362146,0.5454545454545454,0.42857142857142855,0.8072593036225643
