round,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,loss
10,0.6759720837487537,0.1686027087666432,0.15350839268413496,0.0,0.0,0.0,0.0,0.15730337078651685,0.1346153846153846,0.0967741935483871,0.05454545454545454,0.0,0.0,0.0,0.0,0.8204811844540407,0.9910581222056631,0.0,0.0,0.8096677935491887
11,0.6759720837487537,0.162810959532271,0.1450053331142427,0.0,0.0,0.0,0.0,0.14634146341463414,0.11538461538461539,0.05084745762711865,0.02727272727272727,0.0,0.0,0.0,0.0,0.8178484107579462,0.9970193740685543,0.0,0.0,0.8264128788042877
12,0.6859421734795613,0.1996953865806325,0.1816490745772464,0.0,0.0,0.0,0.0,0.3302752293577982,0.34615384615384615,0.112,0.06363636363636363,0.0,0.0,0.0,0.0,0.8292682926829268,0.9880774962742176,0.0,0.0,0.7884709944991267
13,0.6809571286141576,0.1798046216079003,0.16522357669723237,0.0,0.0,0.0,0.0,0.23655913978494625,0.21153846153846154,0.09523809523809523,0.05454545454545454,0.0,0.0,0.0,0.0,0.8247678018575851,0.992548435171386,0.0,0.0,0.7893913890999312
14,0.6969092721834497,0.22446031298490315,0.20226782577326055,0.0,0.0,0.0,0.0,0.43333333333333335,0.5,0.109375,0.06363636363636363,0.0,0.0,0.034782608695652174,0.018018018018018018,0.8383838383838383,0.9895678092399404,0.0,0.0,0.7848348233065126
15,0.6869391824526421,0.19555093407552424,0.18246679057614162,0.0,0.0,0.0,0.0,0.2912621359223301,0.28846153846153844,0.13846153846153847,0.08181818181818182,0.0,0.0,0.017543859649122806,0.009009009009009009,0.83,0.9895678092399404,0.0,0.0,0.7754420110972549
16,0.6919242273180458,0.20604149948412243,0.18747928683037207,0.0,0.0,0.0,0.0,0.3669724770642202,0.38461538461538464,0.1111111111111111,0.06363636363636363,0.0,0.0,0.0,0.0,0.8342714196372732,0.9940387481371088,0.0,0.0,0.7775345417343132
17,0.6839481555333998,0.18114297458559753,0.1704638919058257,0.0,0.0,0.0,0.0,0.2222222222222222,0.19230769230769232,0.11023622047244094,0.06363636363636363,0.0,0.0,0.034782608695652174,0.018018018018018018,0.8260061919504644,0.9940387481371088,0.0,0.0,0.7985290637757937
18,0.6889332003988036,0.1920055354481584,0.18149558713211156,0.0,0.0,0.0,0.0,0.2736842105263158,0.25,0.16666666666666666,0.1,0.0,0.0,0.0,0.0,0.8301182327317984,0.9940387481371088,0.0,0.0,0.7698311546626143
19,0.6919242273180458,0.21108434469090206,0.19742594830801588,0.0,0.0,0.0,0.0,0.3392857142857143,0.36538461538461536,0.17142857142857143,0.10909090909090909,0.0,0.0,0.03508771929824561,0.018018018018018018,0.83617963314358,0.9850968703427719,0.0,0.0,0.7695739727433871
20,0.6909272183449651,0.2061913496339726,0.18388634195417936,0.0,0.0,0.0,0.0,0.37168141592920356,0.40384615384615385,0.08333333333333333,0.045454545454545456,0.0,0.0,0.0,0.0,0.8321896444167186,0.9940387481371088,0.0,0.0,0.787042487535258
21,0.6869391824526421,0.18954133298395595,0.18361958738906298,0.0,0.0,0.058823529411764705,0.030303030303030304,0.24444444444444444,0.21153846153846154,0.15503875968992248,0.09090909090909091,0.0,0.0,0.0,0.0,0.8270303781773094,0.9940387481371088,0.0,0.0,0.7872565692942497
22,0.7048853439680958,0.23456187144711735,0.23067633325031725,0.0,0.0,0.05714285714285714,0.030303030303030304,0.4107142857142857,0.4423076923076923,0.1925925925925926,0.11818181818181818,0.0,0.0,0.11023622047244094,0.06306306306306306,0.8440483768300445,0.9880774962742176,0.0,0.0,0.7584162456088385
23,0.6989032901296112,0.22099885788410378,0.21697171290470035,0.0,0.0,0.058823529411764705,0.030303030303030304,0.3486238532110092,0.36538461538461536,0.18840579710144928,0.11818181818181818,0.0,0.0,0.08264462809917356,0.04504504504504504,0.8403041825095057,0.9880774962742176,0.0,0.0,0.7468003128485332
24,0.6999002991026919,0.2241205626451528,0.2178060749057786,0.0,0.0,0.05714285714285714,0.030303030303030304,0.3853211009174312,0.40384615384615385,0.17391304347826086,0.10909090909090909,0.0,0.0,0.06722689075630252,0.036036036036036036,0.8410386320455985,0.9895678092399404,0.0,0.0,0.7535396551681777
25,0.6989032901296112,0.21631630811958683,0.2126652512916352,0.0,0.0,0.05714285714285714,0.030303030303030304,0.35294117647058826,0.34615384615384615,0.18840579710144928,0.11818181818181818,0.0,0.0,0.05084745762711865,0.02702702702702703,0.8393194706994329,0.992548435171386,0.0,0.0,0.7604099626198841
26,0.7018943170488534,0.23506992195516788,0.22054681736151163,0.0,0.0,0.058823529411764705,0.030303030303030304,0.43333333333333335,0.5,0.17391304347826086,0.10909090909090909,0.0,0.0,0.034782608695652174,0.018018018018018018,0.8429752066115702,0.9880774962742176,0.0,0.0,0.7408803483305995
27,0.6989032901296112,0.2213967099213001,0.21611376568415783,0.0,0.0,0.058823529411764705,0.030303030303030304,0.38095238095238093,0.38461538461538464,0.2014388489208633,0.12727272727272726,0.0,0.0,0.034782608695652174,0.018018018018018018,0.8367989918084436,0.9895678092399404,0.0,0.0,0.7530966943662878
28,0.7048853439680958,0.22986762167090039,0.22519315513750385,0.0,0.0,0.05714285714285714,0.030303030303030304,0.4,0.4230769230769231,0.17647058823529413,0.10909090909090909,0.0,0.0,0.0975609756097561,0.05405405405405406,0.8451776649746193,0.992548435171386,0.0,0.0,0.7504234269395069
29,0.7268195413758723,0.2862116099821018,0.27696616298204846,0.0,0.0,0.05555555555555555,0.030303030303030304,0.48175182481751827,0.6346153846153846,0.31446540880503143,0.22727272727272727,0.0,0.0,0.22058823529411764,0.13513513513513514,0.8664021164021164,0.9761549925484352,0.0,0.0,0.7239099839035559
30,0.707876370887338,0.23482612499005942,0.23448203871978637,0.0,0.0,0.05714285714285714,0.030303030303030304,0.4074074074074074,0.4230769230769231,0.20437956204379562,0.12727272727272726,0.0,0.0,0.128,0.07207207207207207,0.8444444444444444,0.9910581222056631,0.0,0.0,0.7395446712331306
31,0.7028913260219342,0.2193395144214816,0.21774019454545807,0.0,0.0,0.058823529411764705,0.030303030303030304,0.36,0.34615384615384615,0.2127659574468085,0.13636363636363635,0.0,0.0,0.05128205128205128,0.02702702702702703,0.8413098236775819,0.9955290611028316,0.0,0.0,0.7528602475539994
32,0.707876370887338,0.23702112390636979,0.23412614938875592,0.0,0.0,0.05714285714285714,0.030303030303030304,0.39285714285714285,0.4230769230769231,0.24161073825503357,0.16363636363636364,0.0,0.0,0.09836065573770492,0.05405405405405406,0.8489116517285531,0.9880774962742176,0.0,0.0,0.7257067636026818
33,0.7088733798604188,0.24336512697168436,0.2390147464652208,0.0,0.0,0.05714285714285714,0.030303030303030304,0.4,0.46153846153846156,0.23943661971830985,0.15454545454545454,0.0,0.0,0.128,0.07207207207207207,0.8485237483953787,0.9850968703427719,0.0,0.0,0.718764615498654
34,0.7138584247258225,0.24771043459568048,0.245830868227247,0.0,0.0,0.05555555555555555,0.030303030303030304,0.42105263157894735,0.46153846153846156,0.2953020134228188,0.2,0.0,0.0,0.09836065573770492,0.05405405405405406,0.8505452212957024,0.9880774962742176,0.0,0.0,0.7327429420451225
35,0.7108673978065803,0.2416310317949662,0.23901319167372842,0.0,0.0,0.05714285714285714,0.030303030303030304,0.4247787610619469,0.46153846153846156,0.2302158273381295,0.14545454545454545,0.0,0.0,0.11382113821138211,0.06306306306306306,0.8471337579617835,0.9910581222056631,0.0,0.0,0.735865051641778
36,0.7168494516450648,0.2650271969944101,0.2499667983140316,0.0,0.0,0.05714285714285714,0.030303030303030304,0.46616541353383456,0.5961538461538461,0.3026315789473684,0.20909090909090908,0.0,0.0,0.06779661016949153,0.036036036036036036,0.8560311284046692,0.9836065573770492,0.0,0.0,0.7212493003068393
37,0.7168494516450648,0.2646176449455138,0.2557093449214753,0.0,0.0,0.05714285714285714,0.030303030303030304,0.46875,0.5769230769230769,0.28378378378378377,0.19090909090909092,0.0,0.0,0.125,0.07207207207207207,0.8552887735236859,0.9821162444113264,0.0,0.0,0.709582799631482
38,0.7228315054835494,0.2799895053993415,0.27021304906403143,0.0,0.0,0.05714285714285714,0.030303030303030304,0.49624060150375937,0.6346153846153846,0.32679738562091504,0.22727272727272727,0.0,0.0,0.15267175572519084,0.09009009009009009,0.8586387434554974,0.977645305514158,0.0,0.0,0.7057502584110348
39,0.7138584247258225,0.2556879392944967,0.24714103476448543,0.0,0.0,0.05555555555555555,0.030303030303030304,0.4628099173553719,0.5384615384615384,0.27631578947368424,0.19090909090909092,0.0,0.0,0.08130081300813008,0.04504504504504504,0.8540051679586563,0.9850968703427719,0.0,0.0,0.7083153566596277
40,0.7238285144566301,0.2671211007276581,0.26721026876048565,0.0,0.0,0.05714285714285714,0.030303030303030304,0.43548387096774194,0.5192307692307693,0.3006535947712418,0.20909090909090908,0.0,0.0,0.21875,0.12612612612612611,0.8584415584415584,0.9850968703427719,0.0,0.0,0.7104932508939285
41,0.7298105682951147,0.28088751449407184,0.2820124561507073,0.0,0.0,0.10810810810810811,0.06060606060606061,0.47540983606557374,0.5576923076923077,0.37267080745341613,0.2727272727272727,0.0,0.0,0.15384615384615385,0.09009009009009009,0.8640522875816994,0.9850968703427719,0.0,0.0,0.6992644675350855
42,0.7228315054835494,0.2845024313408388,0.2886059321522517,0.0,0.0,0.05714285714285714,0.030303030303030304,0.4580152671755725,0.5769230769230769,0.30666666666666664,0.20909090909090908,0.0,0.0,0.20588235294117646,0.12612612612612611,0.8592010478061559,0.977645305514158,0.13333333333333333,0.07142857142857142,0.6959685856181151
