round,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,loss,train_loss_weighted,train_loss_unweighted
18,0.7028913260219342,0.285036835856508,0.25470395936578083,0.0,0.0,0.0,0.0,0.0,0.0,0.4915254237288136,0.5272727272727272,0.0,0.0,0.43086816720257237,0.6036036036036037,0.8605341246290801,0.8643815201192251,0.0,0.0,1.260023173995888,0.16113305357793517,1.1940088892984277
19,0.7268195413758723,0.28695928204124926,0.26599813726704297,0.0,0.0,0.0,0.0,0.0,0.0,0.5213675213675214,0.5545454545454546,0.0,0.0,0.4765625,0.5495495495495496,0.8640569395017793,0.9046199701937406,0.0,0.0,1.4323803885270687,0.0918954115789058,0.7504065840757154
20,0.045862412761714856,0.2380000951429523,0.04798168198707991,0.0,0.0,0.12280701754385964,0.42424242424242425,0.17391304347826086,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03915171288743882,0.8571428571428571,12.112269520403025,1.0326801270189847,1.1794472856322926
21,0.744765702891326,0.2779491222114173,0.2656667185600631,0.0,0.0,0.0,0.0,0.0,0.0,0.5241935483870968,0.5909090909090909,0.0,0.0,0.45685279187817257,0.40540540540540543,0.8786206896551724,0.9493293591654247,0.0,0.0,1.603902357050096,0.07648895553398613,0.27010392126903016
22,0.7238285144566301,0.24204849942554857,0.23920051674946735,0.0,0.0,0.0,0.0,0.0,0.0,0.4039408866995074,0.37272727272727274,0.0,0.0,0.40816326530612246,0.36036036036036034,0.8622994652406417,0.9612518628912071,0.0,0.0,1.2477255472514113,0.21504128213434343,1.6452869425080383
23,0.7088733798604188,0.27783845160894344,0.25296945833949447,0.0,0.0,0.0,0.0,0.0,0.0,0.4755244755244755,0.6181818181818182,0.0,0.0,0.4375,0.44144144144144143,0.8577617328519855,0.8852459016393442,0.0,0.0,1.8104674322892758,0.07170919649544674,1.020003798422213
24,0.7268195413758723,0.25264660018758384,0.2377118570138458,0.0,0.0,0.0,0.0,0.0,0.0,0.4870848708487085,0.6,0.0,0.0,0.3057324840764331,0.21621621621621623,0.8711656441717791,0.9523099850968704,0.0,0.0,1.8476329505859557,0.08382736135528542,1.4181212536519172
25,0.7178464606181456,0.2808520677373136,0.25776943594883805,0.0,0.0,0.0,0.0,0.0,0.0,0.5054151624548736,0.6363636363636364,0.0,0.0,0.4383561643835616,0.43243243243243246,0.860614724803431,0.8971684053651267,0.0,0.0,1.5600821346727944,0.09195547521594241,0.6538396141635142
26,0.732801595214357,0.2741915004210086,0.259438713269564,0.0,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,0.4909090909090909,0.0,0.0,0.46808510638297873,0.4954954954954955,0.8743016759776536,0.9329359165424739,0.0,0.0,1.8150084507192001,0.03335569813821156,0.5068428817682806
27,0.7098703888334995,0.26602565946828244,0.2486590608710363,0.0,0.0,0.0,0.0,0.0,0.0,0.4366812227074236,0.45454545454545453,0.0,0.0,0.448,0.5045045045045045,0.8559322033898306,0.9031296572280179,0.0,0.0,1.4146217463142494,0.17161785511620525,1.409250573603665
28,0.7038883349950149,0.26691984724771606,0.24853203769267163,0.0,0.0,0.0,0.0,0.0,0.0,0.4727272727272727,0.4727272727272727,0.0,0.0,0.4163568773234201,0.5045045045045045,0.8506401137980085,0.8912071535022354,0.0,0.0,1.2963351957343987,0.12216897302777913,0.6430651942564513
29,0.7318045862412762,0.27946609585953847,0.26222185968792944,0.0,0.0,0.0,0.0,0.0,0.0,0.5039370078740157,0.5818181818181818,0.0,0.0,0.4608294930875576,0.45045045045045046,0.8707865168539326,0.9239940387481371,0.0,0.0,1.7773697421415258,0.046819159696118905,0.4713469481864602
30,0.634097706879362,0.23846543354740074,0.2408991476146936,0.0,0.0,0.0,0.0,0.06201550387596899,0.07692307692307693,0.4372093023255814,0.42727272727272725,0.0,0.0,0.38235294117647056,0.35135135135135137,0.8047162859248342,0.8137108792846498,0.0,0.0,1.3956051658419288,0.15282526917399075,0.8549676310936611
31,0.7228315054835494,0.28067867739998886,0.25967419944330394,0.0,0.0,0.0,0.0,0.0,0.0,0.47257383966244726,0.509090909090909,0.0,0.0,0.47843137254901963,0.5495495495495496,0.8667141838916608,0.9061102831594635,0.0,0.0,1.8718604815683717,0.03864237524740014,0.34984838242759053
32,0.6989032901296112,0.28529442791737875,0.2529251626352242,0.0,0.0,0.0,0.0,0.0,0.0,0.4728682170542636,0.5545454545454546,0.0,0.0,0.4406779661016949,0.5855855855855856,0.856929955290611,0.856929955290611,0.0,0.0,1.9127077532194905,0.05774749247480398,1.0152358224508162
33,0.7278165503489531,0.2764194895342436,0.2595044458259227,0.0,0.0,0.0,0.0,0.0,0.0,0.4918032786885246,0.5454545454545454,0.0,0.0,0.45614035087719296,0.46846846846846846,0.8685874912157414,0.9210134128166915,0.0,0.0,2.0317223486848035,0.053346158206208374,0.9796360697788205
34,0.7218344965104686,0.27516547844416694,0.2561493117688165,0.0,0.0,0.0,0.0,0.0,0.0,0.48627450980392156,0.5636363636363636,0.0,0.0,0.44052863436123346,0.45045045045045046,0.8662420382165605,0.9120715350223547,0.0,0.0,1.7627570191741821,0.06551834482955238,1.0298294590803727
35,0.6869391824526421,0.2885664549598976,0.25711352870588794,0.0,0.0,0.0,0.0,0.03076923076923077,0.019230769230769232,0.4785714285714286,0.6090909090909091,0.0,0.0,0.4460431654676259,0.5585585585585585,0.8444108761329305,0.8330849478390462,0.0,0.0,1.594571609440021,0.13363176392074708,1.1237197451869074
36,0.7248255234297108,0.268168487840619,0.2552400613100185,0.0,0.0,0.0,0.0,0.0,0.0,0.4425531914893617,0.4727272727272727,0.0,0.0,0.4796380090497738,0.4774774774774775,0.8644892286309938,0.9269746646795827,0.0,0.0,1.7762062172827906,0.03889585720882638,0.39655838610135796
37,0.7248255234297108,0.28228388064453636,0.2608071073645715,0.0,0.0,0.0,0.0,0.0,0.0,0.4744525547445255,0.5909090909090909,0.0,0.0,0.4818181818181818,0.4774774774774775,0.8693790149892934,0.9076005961251863,0.0,0.0,1.4981339322486642,0.04796167135239182,0.4911335024956647
38,0.6859421734795613,0.2735385128827752,0.2569998912091767,0.0,0.0,0.0,0.0,0.04,0.038461538461538464,0.45493562231759654,0.4818181818181818,0.0,0.0,0.45454545454545453,0.5405405405405406,0.8495181616011861,0.8539493293591655,0.0,0.0,1.4500559523241114,0.10297274452655,0.6628628248308736
39,0.7138584247258225,0.2809107595992842,0.25505944595775615,0.0,0.0,0.0,0.0,0.0,0.0,0.4628099173553719,0.509090909090909,0.0,0.0,0.4548736462093863,0.5675675675675675,0.8677325581395349,0.8897168405365127,0.0,0.0,1.466822609587657,0.08238775352723557,0.5762818157260623
40,0.7208374875373879,0.28681447042102776,0.26096243613205505,0.0,0.0,0.0,0.0,0.0,0.0,0.5176470588235295,0.6,0.0,0.0,0.44015444015444016,0.5135135135135135,0.8689355539464156,0.8941877794336811,0.0,0.0,1.8798864146885819,0.04541365642614031,0.5405805010821142
41,0.7238285144566301,0.27554448210185917,0.25580066707341326,0.0,0.0,0.0,0.0,0.0,0.0,0.4715447154471545,0.5272727272727272,0.0,0.0,0.4462809917355372,0.4864864864864865,0.8727789623312011,0.9150521609538003,0.0,0.0,1.7239886248931808,0.04387428115851914,0.7071921514727703
42,0.707876370887338,0.28181664739041784,0.2540801273874583,0.0,0.0,0.0,0.0,0.0,0.0,0.4609375,0.5363636363636364,0.0,0.0,0.45588235294117646,0.5585585585585585,0.8617410387710315,0.8777943368107303,0.0,0.0,1.6900049521701999,0.04708073260814978,0.3610042224182956
43,0.7128614157527418,0.2753273605732622,0.2538601718142046,0.0,0.0,0.0,0.0,0.0,0.0,0.4765957446808511,0.509090909090909,0.0,0.0,0.4393939393939394,0.5225225225225225,0.8610315186246418,0.8956780923994039,0.0,0.0,1.6643041386561521,0.030890376962763876,0.3365407054685675
44,0.7148554336989033,0.282017465624023,0.26472053543183655,0.0,0.0,0.05714285714285714,0.030303030303030304,0.0,0.0,0.4745762711864407,0.509090909090909,0.0,0.0,0.4580152671755725,0.5405405405405406,0.8633093525179856,0.8941877794336811,0.0,0.0,1.5511991023304217,0.07715083448236375,0.6434602992566398
45,0.7168494516450648,0.2762023680056466,0.2547140759394454,0.0,0.0,0.0,0.0,0.0,0.0,0.46586345381526106,0.5272727272727272,0.0,0.0,0.45161290322580644,0.5045045045045045,0.8655221745350501,0.9016393442622951,0.0,0.0,1.638846667433308,0.06893659300385056,0.5202730722431989
46,0.6071784646061814,0.27302725335512223,0.22271752626196362,0.0,0.0,0.0,0.0,0.0,0.0,0.38596491228070173,0.4,0.0,0.0,0.3723849372384937,0.8018018018018018,0.80067283431455,0.7093889716840537,0.0,0.0,3.0442221162326315,0.07788114800515562,0.6371809107332116
47,0.7238285144566301,0.27443528263200395,0.25678331461155945,0.0,0.0,0.0,0.0,0.0,0.0,0.45081967213114754,0.5,0.0,0.0,0.47863247863247865,0.5045045045045045,0.8680310515172901,0.9165424739195231,0.0,0.0,2.0020430980627224,0.014922277015310782,0.24405150614552906
48,0.646061814556331,0.2702945407863441,0.2532804441919744,0.0,0.0,0.03333333333333333,0.030303030303030304,0.036036036036036036,0.038461538461538464,0.45112781954887216,0.5454545454545454,0.0,0.0,0.42857142857142855,0.4864864864864865,0.8238944918541505,0.7913561847988078,0.0,0.0,1.6403053445093416,0.1095142757898638,0.9112932129090797
49,0.06281156530408774,0.2294610151753009,0.05927825110250027,0.0,0.0,0.14193548387096774,0.3333333333333333,0.16845878136200718,0.9038461538461539,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.021220159151193633,0.2857142857142857,15.496949763502462,0.258021005416385,0.5529294220224256
50,0.7397806580259222,0.2778534122796418,0.263748920365892,0.0,0.0,0.0,0.0,0.0,0.0,0.48068669527896996,0.509090909090909,0.0,0.0,0.48672566371681414,0.4954954954954955,0.8788300835654597,0.940387481371088,0.0,0.0,1.766100570544645,0.056204680022549636,0.2778740583015389
51,0.04685942173479561,0.1661125759486415,0.03303043705520486,0.0,0.0,0.06811145510835913,1.0,0.14545454545454545,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.01764705882352941,0.00894187779433681,0.0,0.0,4.958968234323671,1.621321237780147,2.409824897386134
52,0.7367896311066799,0.2772498067580035,0.2628078947765359,0.0,0.0,0.0,0.0,0.0,0.0,0.49166666666666664,0.5363636363636364,0.0,0.0,0.4727272727272727,0.46846846846846846,0.8752613240418119,0.9359165424739195,0.0,0.0,1.7981924819328254,0.05317365569016114,0.4986078939418051
53,0.7248255234297108,0.2854125788552018,0.2619634388094209,0.0,0.0,0.0,0.0,0.0,0.0,0.4769874476987448,0.5181818181818182,0.0,0.0,0.4866920152091255,0.5765765765765766,0.8700646087580761,0.9031296572280179,0.0,0.0,1.678722273079253,0.21739294439944562,1.9112622565208084
