round,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,balanced_accuracy,worst_class_f1
19,0.21739130434782608,0.15151515151515152,0.43243243243243246,0.3076923076923077,0.4307692307692308,0.38181818181818183,0.0,0.0,0.0,0.0,0.851421188630491,0.9821162444113264,0.5,0.35714285714285715,0.31146924893997496,0.0
20,0.058823529411764705,0.030303030303030304,0.29411764705882354,0.19230769230769232,0.5095057034220533,0.6090909090909091,0.0,0.0,0.09917355371900827,0.05405405405405406,0.8794037940379403,0.9672131147540983,0.5,0.5714285714285714,0.3463424817054794,0.0
21,0.2857142857142857,0.24242424242424243,0.3380281690140845,0.23076923076923078,0.21374045801526717,0.12727272727272726,0.0,0.0,0.05172413793103448,0.02702702702702703,0.8296943231441049,0.9910581222056631,0.23529411764705882,0.14285714285714285,0.2516297846508619,0.0
22,0.058823529411764705,0.030303030303030304,0.5688073394495413,0.5961538461538461,0.4404494382022472,0.8909090909090909,0.0,0.0,0.0,0.0,0.8475371383893667,0.8077496274217586,0.25,0.14285714285714285,0.352567533949267,0.0
23,0.0,0.0,0.21875,0.1346153846153846,0.2127659574468085,0.13636363636363635,0.15384615384615385,0.08333333333333333,0.0,0.0,0.8199139520590043,0.9940387481371088,0.23529411764705882,0.14285714285714285,0.2130297493295151,0.0
24,0.0,0.0,0.49504950495049505,0.4807692307692308,0.21052631578947367,0.12727272727272726,0.09523809523809523,0.08333333333333333,0.3402061855670103,0.2972972972972973,0.8728476821192053,0.9821162444113264,0.0,0.0,0.2815412618691307,0.0
25,0.0,0.0,0.09523809523809523,0.057692307692307696,0.0,0.0,0.15384615384615385,0.08333333333333333,0.1958041958041958,0.12612612612612611,0.8229487970388649,0.9940387481371088,0.2608695652173913,0.21428571428571427,0.21078231851065574,0.0
26,0.0,0.0,0.45217391304347826,0.5,0.0,0.0,0.0,0.0,0.37523452157598497,0.9009009009009009,0.7969671440606572,0.7049180327868853,0.0,0.0,0.30083127624111233,0.0
27,0.20833333333333334,0.15151515151515152,0.5576923076923077,0.5576923076923077,0.47368421052631576,0.7363636363636363,0.0,0.0,0.0,0.0,0.8760088041085841,0.8897168405365127,0.5384615384615384,0.5,0.40504113372965833,0.0
28,0.0,0.0,0.125,0.07692307692307693,0.0,0.0,0.0,0.0,0.2112676056338028,0.13513513513513514,0.8236744759556104,0.9955290611028316,0.36363636363636365,0.2857142857142857,0.21332879412504704,0.0
