round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,train_loss_weighted
49,1.3401605359103126,0.7587238285144566,0.47970052501668425,0.4875338260739242,0.028566985908302662
50,1.2913889649620323,0.7637088733798604,0.4913374333749041,0.496373737147877,0.030357959147815555
51,1.32210122671346,0.7607178464606181,0.4699145201487122,0.48026414385002764,0.027084720398204337
52,1.2956857469716552,0.7607178464606181,0.48872938568488916,0.5022517007690878,0.03592782094268678
53,1.293099228727259,0.7627118644067796,0.4866456770438035,0.49356651345915525,0.02641558788539671
54,1.2732441425323486,0.7647058823529411,0.49873994077741146,0.5045853170791407,0.03217421356621726
55,1.2581470981314555,0.7617148554336989,0.4710109646877797,0.4695836128931899,0.031647230665021404
56,1.2674819068799348,0.7647058823529411,0.47911562771047544,0.4951763545413638,0.02898999365560879
57,1.3016196210030189,0.7617148554336989,0.4658207627762662,0.47415247429851715,0.022620806183194148
58,1.3262599126054189,0.7647058823529411,0.4840982392504641,0.5006508783193537,0.034539254826589615
59,1.3032699829916417,0.7647058823529411,0.47776517636002414,0.49071189837524404,0.02400682898535559
60,1.3016913060176885,0.7647058823529411,0.46520291215841564,0.4704286944545726,0.022819490306366406
61,1.2748140588714736,0.7647058823529411,0.4738878692040284,0.4885817220690814,0.022612697465183105
62,1.2937126868624511,0.7637088733798604,0.4887049823817974,0.5012878584749175,0.02652915612620248
63,1.278584861446354,0.765702891326022,0.485328179004994,0.5010888228796369,0.023699032325726392
64,1.2750114247069164,0.7686939182452642,0.4881384834546427,0.5021490155265477,0.02579883863581818
65,1.3108733104447188,0.7647058823529411,0.47758488109776165,0.4870632238686227,0.025185476210303724
66,1.3124235835769478,0.765702891326022,0.4754671273406636,0.48752354990624897,0.017203692732753503
67,1.2869187715878396,0.7676969092721835,0.4961212479947843,0.5078196569354494,0.02786464615380648
68,1.2746176276939103,0.7686939182452642,0.4934877420825899,0.49890923188421094,0.018851050413604728
69,1.3155421273539574,0.7637088733798604,0.486556783512287,0.4935145593977775,0.021508639188286927
70,1.3264813654919565,0.769690927218345,0.48696379047667104,0.495549128318627,0.011848212808864774
71,1.3025099797952449,0.7627118644067796,0.47782362477912826,0.4846218034651012,0.0181069309584602
72,1.310063972489784,0.7666999002991027,0.4979896498631861,0.5127511359605489,0.015015860771833823
73,1.3218836563296712,0.765702891326022,0.4991199993541914,0.513616342359425,0.018506634817303493
74,1.3300219650639376,0.765702891326022,0.4880059915188721,0.49845553131957754,0.01464484565661682
75,1.340160866202053,0.7627118644067796,0.4724570226912147,0.4819827151754293,0.015476859050468018
76,1.3460782956506534,0.7607178464606181,0.4801146287094765,0.49214784857967436,0.01653669532140391
77,1.3375573127956715,0.7627118644067796,0.49364328732010226,0.5032726804944635,0.009843701270588536
78,1.3759745091407867,0.7617148554336989,0.4827247862376668,0.5049903787428949,0.01305934891323296
79,1.3397371051675182,0.7666999002991027,0.4990559443721036,0.5197454564594456,0.012528937939679725
80,1.3273838600394494,0.7666999002991027,0.5046050031998509,0.5221844980613951,0.021527435633131756
81,1.3189502615752748,0.7647058823529411,0.48884378907798115,0.5033801542167978,0.022089880869751322
82,1.3491515422152618,0.7666999002991027,0.4984739019867826,0.5175999566148087,0.011416119104113727
83,1.333088862040226,0.7666999002991027,0.49971659667210017,0.5190321580798376,0.009212547371361969
84,1.349798623966434,0.765702891326022,0.49615989639408836,0.5131682299908655,0.010379661949307587
85,1.3641883626892226,0.7647058823529411,0.4854075340023818,0.4910224259807152,0.014915592945362337
86,1.3551356145891094,0.7627118644067796,0.4715710234445597,0.4829241248999547,0.014945120317746925
87,1.367085798846879,0.7627118644067796,0.49121309308662936,0.5081320096944557,0.012605861509008685
88,1.3536275733384868,0.7627118644067796,0.4938572440914361,0.507670255950855,0.0189852381457884
89,1.3206999341726064,0.7637088733798604,0.49572239267789614,0.5115490442005879,0.010766665763026975
90,1.3477525256447873,0.7637088733798604,0.5017829987385022,0.5150241223854574,0.006824065139749582
91,1.3860045423060805,0.7666999002991027,0.4957046508568757,0.5066656207422776,0.017171268292945335
92,1.363133026797655,0.7676969092721835,0.4935553970682776,0.5129644357971749,0.008978743225354852
93,1.3733462698438232,0.7637088733798604,0.4962300448248925,0.5123834748169278,0.005563417026202395
94,1.4158720217816019,0.7627118644067796,0.49688754712173916,0.5124965012838767,0.008177269554263582
95,1.3872154186872518,0.7637088733798604,0.4902009387957866,0.5050910507278338,0.008623456880820415
96,1.3699812948525487,0.7637088733798604,0.49842504374120294,0.510193755832261,0.010873371358127723
97,1.379908171988437,0.765702891326022,0.4953560923115958,0.507122283444364,0.004474409892648082
98,1.4115862879653276,0.7597208374875374,0.48572108103724027,0.504309263736041,0.008904982089195285
99,1.4014324236248925,0.7587238285144566,0.48851508219189715,0.5047636630504443,0.005128701536370392
100,1.4142000559914267,0.7567298105682951,0.4866173270154535,0.4994435245865061,0.0033800877093326407
101,1.4574866221172147,0.7617148554336989,0.4902161871716907,0.5073455140188405,0.0012312947680801678
102,1.4821269493160076,0.7637088733798604,0.4939344892506485,0.5127941993458582,0.005659727438083763
103,1.497163045679703,0.765702891326022,0.4949501402662996,0.5028094486209846,0.002273219295118456
104,1.4821321268975438,0.7686939182452642,0.5108108561270154,0.5196738404972143,0.003991026979598121
105,1.5052325745760384,0.7666999002991027,0.4942510714173477,0.5202552687900824,0.03212164935336433
106,1.398094885192388,0.7647058823529411,0.509283001320472,0.5207908504092492,0.02633696817048144
107,1.4488521372214154,0.7676969092721835,0.5031578533920454,0.5132606301781127,0.00283816073667207
108,1.4616527880652477,0.765702891326022,0.49764354787773996,0.5099560864582304,0.002044983247440186
109,1.4638665006500655,0.7647058823529411,0.4943627864002571,0.5048805748801606,0.002221146709259845
110,1.4899563830966132,0.7676969092721835,0.5095238548400141,0.5248724376507409,0.0009305038897877801
111,1.4943350357405567,0.765702891326022,0.5108600979795359,0.5260921257426436,0.002978086839453228
112,1.528952999580893,0.7716849451645065,0.5094933580882058,0.5251765951926642,0.004568186821161479
113,1.5264189324136508,0.7716849451645065,0.5054006556348477,0.5229528743554255,0.008397700319890915
