round,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,balanced_accuracy,worst_class_f1
16,0.0,0.0,0.0,0.0,0.518796992481203,0.6272727272727273,0.0,0.0,0.03508771929824561,0.018018018018018018,0.8646864686468647,0.9761549925484352,0.0,0.0,0.2316351054055972,0.0
17,0.0,0.0,0.0,0.0,0.5358490566037736,0.6454545454545455,0.0,0.0,0.0,0.0,0.8588390501319261,0.970193740685544,0.0,0.0,0.2308068980200128,0.0
18,0.0,0.0,0.0,0.0,0.3463687150837989,0.2818181818181818,0.3333333333333333,0.25,0.325,0.23423423423423423,0.8541935483870968,0.9865871833084948,0.0,0.0,0.25037708562298727,0.0
19,0.0,0.0,0.0,0.0,0.4942084942084942,0.5818181818181818,0.11764705882352941,0.08333333333333333,0.2937062937062937,0.1891891891891892,0.8817204301075269,0.977645305514158,0.0,0.0,0.2617122871221232,0.0
20,0.0,0.0,0.0,0.0,0.5367647058823529,0.6636363636363637,0.2222222222222222,0.16666666666666666,0.03508771929824561,0.018018018018018018,0.8755821689953427,0.9806259314456036,0.0,0.0,0.26127813996666455,0.0
21,0.0,0.0,0.0,0.0,0.5263157894736842,0.7727272727272727,0.36363636363636365,0.3333333333333333,0.3576158940397351,0.24324324324324326,0.9029057406094968,0.9493293591654247,0.0,0.0,0.3283761726384677,0.0
22,0.0,0.0,0.0,0.0,0.4978902953586498,0.5363636363636364,0.2222222222222222,0.16666666666666666,0.16417910447761194,0.0990990990990991,0.8669301712779973,0.9806259314456036,0.0,0.0,0.254679333367858,0.0
23,0.0,0.0,0.0,0.0,0.36046511627906974,0.2818181818181818,0.2857142857142857,0.25,0.15151515151515152,0.09009009009009009,0.843236409608091,0.9940387481371088,0.0,0.0,0.23084957429219724,0.0
24,0.0,0.0,0.0,0.0,0.5283018867924528,0.6363636363636364,0.41025641025641024,0.6666666666666666,0.017857142857142856,0.009009009009009009,0.8759221998658618,0.9731743666169895,0.0,0.0,0.3264590969509002,0.0
25,0.20930232558139536,0.2727272727272727,0.13286713286713286,0.7307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.6618181818181819,0.5424739195230999,0.0,0.0,0.22085291757422904,0.0
26,0.0,0.0,0.4065040650406504,0.4807692307692308,0.0,0.0,0.0,0.0,0.386411889596603,0.8198198198198198,0.835076427996782,0.7734724292101341,0.0,0.0,0.2962944971141693,0.0
27,0.0,0.0,0.0,0.0,0.5421245421245421,0.6727272727272727,0.3,0.25,0.20437956204379562,0.12612612612612611,0.8855788761002031,0.9746646795827124,0.0,0.0,0.28907401120515874,0.0
28,0.0,0.0,0.0,0.0,0.48026315789473684,0.6636363636363637,0.4,0.3333333333333333,0.39378238341968913,0.34234234234234234,0.883453237410072,0.9150521609538003,0.0,0.0,0.3220520286094057,0.0
29,0.08333333333333333,0.06060606060606061,0.463768115942029,0.6153846153846154,0.05263157894736842,0.02727272727272727,0.0,0.0,0.3869209809264305,0.6396396396396397,0.8667174409748667,0.8479880774962743,0.0,0.0,0.312984445771331,0.0
30,0.0,0.0,0.06896551724137931,0.038461538461538464,0.5108225108225108,0.5363636363636364,0.31746031746031744,0.8333333333333334,0.2857142857142857,0.18018018018018017,0.8888888888888888,0.9716840536512668,0.0,0.0,0.36571753456999356,0.0
31,0.0,0.0,0.15050651230101303,1.0,0.0,0.0,0.0,0.0,0.32142857142857145,0.24324324324324326,0.6175869120654397,0.45007451564828616,0.0,0.0,0.2419025369845042,0.0
32,0.0,0.0,0.03773584905660377,0.019230769230769232,0.32432432432432434,0.21818181818181817,0.34782608695652173,0.3333333333333333,0.05,0.02702702702702703,0.8284829721362229,0.9970193740685543,0.0,0.0,0.227827474548786,0.0
33,0.0,0.0,0.0,0.0,0.5054945054945055,0.6272727272727273,0.4,0.5,0.08403361344537816,0.04504504504504504,0.87003367003367,0.96274217585693,0.0,0.0,0.30500856402495746,0.0
34,0.32098765432098764,0.3939393939393939,0.0,0.0,0.15714285714285714,0.1,0.0,0.0,0.38317757009345793,0.36936936936936937,0.8720696584058941,0.970193740685544,0.0,0.0,0.2619289291420439,0.0
35,0.0,0.0,0.0,0.0,0.5520361990950227,0.5545454545454546,0.15602836879432624,0.9166666666666666,0.16129032258064516,0.09009009009009009,0.8895144264602393,0.9418777943368107,0.0,0.0,0.35759714366271744,0.0
36,0.3597122302158273,0.7575757575757576,0.06779661016949153,0.038461538461538464,0.11023622047244094,0.06363636363636363,0.13333333333333333,0.08333333333333333,0.4080267558528428,0.5495495495495496,0.8839615668883961,0.8912071535022354,0.0,0.0,0.3405376708655397,0.0
37,0.0,0.0,0.2532981530343008,0.9230769230769231,0.0,0.0,0.0,0.0,0.3532110091743119,0.6936936936936937,0.6731898238747553,0.5126676602086438,0.0,0.0,0.3042054681398944,0.0
38,0.0,0.0,0.0,0.0,0.5401929260450161,0.7636363636363637,0.6086956521739131,0.5833333333333334,0.30666666666666664,0.2072072072072072,0.8910751932536893,0.9448584202682563,0.0,0.0,0.3570050463493087,0.0
39,0.0,0.0,0.0,0.0,0.46557377049180326,0.6454545454545455,0.45454545454545453,0.4166666666666667,0.4117647058823529,0.3153153153153153,0.8893617021276595,0.9344262295081968,0.0,0.0,0.3302661081349606,0.0
40,0.30303030303030304,0.45454545454545453,0.0,0.0,0.18461538461538463,0.10909090909090909,0.0,0.0,0.4247787610619469,0.6486486486486487,0.8632352941176471,0.8748137108792846,0.0,0.0,0.2981569604520424,0.0
41,0.0,0.0,0.0,0.0,0.42857142857142855,0.32727272727272727,0.30434782608695654,0.5833333333333334,0.035398230088495575,0.018018018018018018,0.8417721518987342,0.9910581222056631,0.0,0.0,0.27424031440424884,0.0
42,0.17857142857142858,0.30303030303030304,0.12698412698412698,0.6923076923076923,0.017699115044247787,0.00909090909090909,0.0,0.0,0.32432432432432434,0.2702702702702703,0.578,0.4307004470938897,0.11764705882352941,0.07142857142857142,0.2538325990316623,0.0
43,0.05714285714285714,0.030303030303030304,0.07272727272727272,0.038461538461538464,0.4942084942084942,0.5818181818181818,0.34782608695652173,0.3333333333333333,0.39344262295081966,0.43243243243243246,0.875,0.8971684053651267,0.0,0.0,0.3305024173876633,0.0
44,0.0,0.0,0.0,0.0,0.539568345323741,0.6818181818181818,0.42857142857142855,0.5,0.36904761904761907,0.27927927927927926,0.8910614525139665,0.9508196721311475,0.0,0.0,0.3445595904612298,0.0
45,0.30985915492957744,0.3333333333333333,0.3373493975903614,0.2692307692307692,0.05309734513274336,0.02727272727272727,0.0,0.0,0.42318840579710143,0.6576576576576577,0.8866130212143379,0.9031296572280179,0.0,0.0,0.3129463063889294,0.0
46,0.0975609756097561,0.06060606060606061,0.10714285714285714,0.057692307692307696,0.5073170731707317,0.4727272727272727,0.42424242424242425,0.5833333333333334,0.4444444444444444,0.3963963963963964,0.8869088416723784,0.9642324888226528,0.0,0.0,0.3621411227968605,0.0
47,0.18181818181818182,0.12121212121212122,0.49523809523809526,0.5,0.0,0.0,0.0,0.0,0.3572744014732965,0.8738738738738738,0.7894736842105263,0.6929955290611028,0.0,0.0,0.3125830748781568,0.0
48,0.16216216216216217,0.09090909090909091,0.07142857142857142,0.038461538461538464,0.5074626865671642,0.4636363636363636,0.37735849056603776,0.8333333333333334,0.2948717948717949,0.2072072072072072,0.8784419073203492,0.9746646795827124,0.0,0.0,0.3726017447328923,0.0
49,0.0,0.0,0.15873015873015872,0.09615384615384616,0.5043478260869565,0.5272727272727272,0.3829787234042553,0.75,0.4697508896797153,0.5945945945945946,0.8808988764044944,0.8763040238450075,0.0,0.0,0.40633217026659646,0.0
50,0.3140495867768595,0.5757575757575758,0.24390243902439024,0.19230769230769232,0.1889763779527559,0.10909090909090909,0.0,0.0,0.39293598233995586,0.8018018018018018,0.8193979933110368,0.7302533532041728,0.13333333333333333,0.07142857142857142,0.35437712908438906,0.0
