round,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,balanced_accuracy,worst_class_f1
19,0.0,0.0,0.0,0.0,0.5520361990950227,0.5545454545454546,0.0,0.0,0.4864864864864865,0.4864864864864865,0.8760330578512396,0.9478390461997019,0.0,0.0,0.2841244267473776,0.0
20,0.0,0.0,0.0,0.0,0.5185185185185185,0.509090909090909,0.0,0.0,0.4744186046511628,0.4594594594594595,0.8674863387978142,0.9463487332339792,0.0,0.0,0.2735570145406211,0.0
21,0.0,0.0,0.0,0.0,0.5190839694656488,0.6181818181818182,0.0,0.0,0.44919786096256686,0.3783783783783784,0.8658367911479945,0.9329359165424739,0.0,0.0,0.27564230187181005,0.0
22,0.0,0.0,0.0,0.0,0.5535714285714286,0.5636363636363636,0.0,0.0,0.37209302325581395,0.2882882882882883,0.8659106070713809,0.9672131147540983,0.0,0.0,0.25987682381125005,0.0
23,0.0,0.0,0.0,0.0,0.5307692307692308,0.6272727272727273,0.0,0.0,0.4744186046511628,0.4594594594594595,0.8704225352112676,0.9210134128166915,0.0,0.0,0.28682079993555404,0.0
24,0.0,0.0,0.0,0.0,0.5307692307692308,0.6272727272727273,0.0,0.0,0.4126984126984127,0.35135135135135137,0.8658367911479945,0.9329359165424739,0.0,0.0,0.27307999930950755,0.0
25,0.0,0.0,0.0,0.0,0.552,0.6272727272727273,0.0,0.0,0.5045871559633027,0.4954954954954955,0.8745620182200421,0.9299552906110283,0.0,0.0,0.29324621619703584,0.0
26,0.0,0.0,0.0,0.0,0.5179856115107914,0.6545454545454545,0.0,0.0,0.43617021276595747,0.36936936936936937,0.867739678096571,0.9239940387481371,0.0,0.0,0.2782726946661373,0.0
27,0.0,0.0,0.0,0.0,0.4933920704845815,0.509090909090909,0.0,0.0,0.4329004329004329,0.45045045045045046,0.8515679442508711,0.910581222056632,0.0,0.0,0.26716036879971305,0.0
28,0.0,0.0,0.0,0.0,0.5102880658436214,0.5636363636363636,0.0,0.0,0.4954954954954955,0.4954954954954955,0.8713286713286713,0.9284649776453056,0.0,0.0,0.28394240525388065,0.0
29,0.0,0.0,0.0,0.0,0.5083333333333333,0.5545454545454546,0.0,0.0,0.4020618556701031,0.35135135135135137,0.8555783709787816,0.9314456035767511,0.0,0.0,0.262477487067651,0.0
30,0.10420168067226891,0.9393939393939394,0.13245033112582782,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03902439024390244,0.2857142857142857,0.22996051567480139,0.0
