round,client_id,num_samples,val_loss,val_macro_f1
31,0,1874,1.9525009903570234,0.26820814790145964
31,2,1872,1.9266656590839206,0.2727205877928533
31,3,173,20.971531330766613,0.04308027412957881
31,9,30,22.98998760250012,0.062002962445666554
32,6,92,9.92308493126425,0.017744597211972708
32,3,173,14.06459188603927,0.016638626971385264
32,5,81,13.82695317672471,0.0035976615200119925
32,9,30,2.7191113237131868,0.07686533700392391
32,2,1872,1.9568613186434045,0.2663290750981083
33,7,30,18.536255147140974,0.10059533183349105
33,5,81,14.49297441252445,0.009627162762210994
33,2,1872,2.0556157771516537,0.2682394517946701
33,4,256,13.962786671647047,0.014082599864590387
33,9,30,32.61030740252996,0.022027411395440757
34,4,256,12.606190750867516,0.014082599864590387
34,9,30,28.060599101742625,0.03488643163687494
34,7,30,17.154282369261843,0.059086525913815795
34,6,92,12.068972339420947,0.02930675915592325
34,1,1872,2.2311694838351768,0.26082698641620283
35,4,256,20.686619710114044,0.014533885757263667
35,8,30,23.475563136792015,0.03437000667940122
35,9,30,31.28339427061832,0.04605566923125526
35,0,1874,1.9164178766020512,0.25037642903615576
35,5,81,16.785791195520495,0.0076289424860853435
36,8,30,23.14858306892372,0.030623546639859955
36,0,1874,1.8809895957574054,0.2594023448983525
36,7,30,32.0058206689441,0.05818605584526428
36,3,173,22.103677238091635,0.009298393913778529
36,5,81,21.79182672357987,0.007294097312246133
37,8,30,28.329947710274936,0.025124168169171093
37,5,81,28.909095387634704,0.011738417994935201
37,9,30,51.64653040238416,0.04908190189004361
37,6,92,15.33662721095746,0.025676031120286307
37,4,256,28.552917461452314,0.014521131033058386
38,6,92,13.101760299469634,0.02308191571349466
38,1,1872,1.8871911829513899,0.25846017930856685
38,4,256,35.89936749124575,0.014082599864590387
38,2,1872,2.091593389615699,0.26598130877750625
38,7,30,15.279648237903476,0.055209428969956544
39,0,1874,1.8157528606749485,0.2599504664322573
39,7,30,1.357647605693471,0.19645153963266976
39,2,1872,2.048875188066857,0.2684118564277028
39,8,30,1.642853362550764,0.15660651612423626
39,3,173,7.65454701055677,0.011414525588055563
40,7,30,3.3641802301910797,0.0710626635873857
40,1,1872,2.5047434793036816,0.2498713804952379
40,2,1872,2.098226027379364,0.26770657973719747
40,0,1874,1.9905406256853524,0.2619045710595239
40,8,30,3.1828972226006917,0.06331366881720844
41,3,173,9.604419708251953,0.011854430593434297
41,5,81,10.576325311974538,0.005654408857255833
41,7,30,3.5717015670517744,0.09689126782722843
41,2,1872,2.1549258179821495,0.26276675935631005
41,1,1872,2.1018672983049753,0.2696230629533013
42,5,81,11.450737292364849,0.006184832674627833
42,8,30,11.398383449581067,0.036322864315768845
42,9,30,12.76941396232141,0.015568168095640624
42,6,92,7.71587306124382,0.003933136676499509
42,1,1872,2.0729924890835765,0.26800804828973845
43,0,1874,1.905652812566025,0.26938611095150544
43,4,256,12.639276148909229,0.014082599864590387
43,6,92,8.66485930677663,0.01764009287410768
43,8,30,11.080598197929405,0.03857238656756623
43,5,81,12.350660878425819,0.005642803854996117
44,2,1872,1.9867941943384477,0.2633017008968496
44,4,256,18.744800352741215,0.014082599864590387
44,9,30,17.7852832113401,0.018215546289629046
44,6,92,8.862266167805178,0.01621703053347715
44,7,30,16.12156605363962,0.03057485322688529
45,7,30,19.20186952341827,0.032092090915620326
45,6,92,9.539661108912641,0.028147387402928374
45,3,173,18.92975697084771,0.02506273583351706
45,8,30,31.800132804710866,0.02383868427959059
45,4,256,19.153662703448493,0.014082599864590387
46,5,81,12.392638434679178,0.01749518399032117
46,8,30,21.43239728902891,0.03612967378404097
46,9,30,17.155369335490235,0.022727450291026994
46,4,256,23.93319628364662,0.02717721628896414
46,7,30,24.004378409114697,0.060626309841971475
47,3,173,18.754027401818593,0.0403572613706708
47,8,30,10.553279739790637,0.054350991604371214
47,5,81,13.0860442097855,0.012355694903037742
47,7,30,10.348893869196548,0.028475472970344532
47,6,92,10.486028180640574,0.028986935167410383
48,6,92,10.698904443476517,0.02751855128016119
48,9,30,13.259563632406005,0.06702078126146765
48,7,30,21.485413626445492,0.044825715013276424
48,4,256,16.250556763242987,0.05702029143401879
48,5,81,16.1382792293134,0.024381849106042276
49,5,81,15.88370271646608,0.06667144420256861
49,1,1872,2.8114102596300072,0.21572294372047626
49,7,30,12.900953408846945,0.06484753908869818
49,3,173,15.819203853131766,0.050957872969308995
49,0,1874,1.9374360249025873,0.256878006514365
50,4,256,5.892133580604318,0.014082599864590387
50,9,30,4.212061249722512,0.06549512817365398
50,2,1872,2.122987497126236,0.2642017316476563
50,3,173,5.993415758830838,0.009100937672366244
50,1,1872,2.152348770577078,0.26548015806385755
51,6,92,5.814729747125658,0.03705963645434011
51,0,1874,1.9822586635768353,0.261782924967867
51,4,256,7.303412643291896,0.014082599864590387
51,3,173,6.860306655183984,0.009100937672366244
51,1,1872,2.1451398729683753,0.2623496574521916
52,2,1872,2.1172134191659486,0.2693002300211325
52,0,1874,2.0563980541818756,0.26300884695891746
52,1,1872,2.145152321841163,0.26555574511003377
52,9,30,8.255335521602916,0.0967019013300842
52,4,256,8.930691482300535,0.014082599864590387
53,7,30,8.891339501735576,0.02440598927901332
53,2,1872,2.1821882141195053,0.25177436189271746
53,6,92,5.97746373554051,0.028242084932996594
53,8,30,11.109783507296713,0.04673187234112535
53,4,256,8.462652253961991,0.014082599864590387
54,7,30,8.661379744737953,0.07162896912970902
54,1,1872,2.1674971124110884,0.26110045646959124
54,0,1874,2.0628365652630123,0.2641263520090103
54,2,1872,2.099726393833712,0.27044111857475617
54,3,173,10.472845010006298,0.019628334006870078
55,3,173,12.055052531918404,0.021675601580622077
55,1,1872,2.157718420266392,0.2634189602010877
55,6,92,6.489456618889973,0.028907659504674433
55,5,81,9.845678355139963,0.006822542138527268
55,4,256,9.06713065739762,0.014082599864590387
56,2,1872,2.0732644093951818,0.2633831206219409
