experiment,experiment_label,experiment_color,condition_label,algorithm,mu,seed,mean_norm_c0,mean_norm_c1,influence_ratio_c1_to_c0,macro_f1,rare_avg_f1,has_drop,has_sh_fixed,has_sh_random,pc_mu_c0,pc_mu_c1,pc_lr_c0,pc_lr_c1,loss_type
baseline_ladder_L4,Heterogeneity-ladder L4,#5E81AC,fednova,fednova,0.0,42,2.376580522288563,1.8510640118673534,0.7788770439323655,0.5061880785004599,0.3732105850470269,False,False,False,,,,,ce
li2020_asymmetric,Li 2020 §5.2 (drop+straggler),#BF616A,fedavg,fedavg,0.0,42,0.2538828479823218,0.8872970938222358,3.494907595664042,0.459289192255614,0.2906044131755676,False,False,False,,,,,ce
li2020_asymmetric,Li 2020 §5.2 (drop+straggler),#BF616A,fedprox μ=0.01 +sh-fixed,fedprox,0.01,456,0.20306498192076297,0.739153226950314,3.639983713384593,0.4863140656009884,0.2916357690186907,False,True,False,,,,,ce
li2020_asymmetric,Li 2020 §5.2 (drop+straggler),#BF616A,fedprox μ=0.01 +sh-fixed,fedprox,0.01,123,0.20855409159529978,0.7379977978476269,3.538639746659659,0.48340949718829346,0.30760211205740656,False,True,False,,,,,ce
li2020_asymmetric,Li 2020 §5.2 (drop+straggler),#BF616A,fedprox μ=0.01 +sh-fixed,fedprox,0.01,42,0.21316835672237477,0.7585992543005183,3.558686035603771,0.467511362080326,0.27228873130512476,False,True,False,,,,,ce
li2020_asymmetric,Li 2020 §5.2 (drop+straggler),#BF616A,fedavg,fedavg,0.0,123,0.24100081508890464,0.8593048418666407,3.5655681975583575,0.5146385318822995,0.3854102847995487,False,False,False,,,,,ce
li2020_asymmetric,Li 2020 §5.2 (drop+straggler),#BF616A,fedavg,fedavg,0.0,456,0.24586831298234677,0.8622604247935559,3.5070010215406073,0.48125519590476584,0.2734480816935275,False,False,False,,,,,ce
perfect_storm,Perfect-storm (Li recipe),#D08770,fedprox μ=1.0 +sh-rand,fedprox,1.0,42,0.20663781480607796,0.3131072005650847,1.5152463785920518,0.3911058202833725,0.08781645569620254,False,False,True,,,,,ce
perfect_storm,Perfect-storm (Li recipe),#D08770,fedprox μ=1.0 +sh-rand,fedprox,1.0,123,0.207786105029768,0.31125673001448606,1.4979670078030223,0.347892399410426,0.0,False,False,True,,,,,ce
perfect_storm,Perfect-storm (Li recipe),#D08770,fedprox μ=1.0 +sh-rand,fedprox,1.0,456,0.2127852699591287,0.3054344537791738,1.4354116421585053,0.3570804838702308,0.041996233521657246,False,False,True,,,,,ce
perfect_storm,Perfect-storm (Li recipe),#D08770,fedprox μ=0.01 +sh-rand,fedprox,0.01,42,0.22821358963086208,0.745674070359245,3.2674393824021646,0.4929065162454817,0.3424402211455022,False,False,True,,,,,ce
perfect_storm,Perfect-storm (Li recipe),#D08770,fedprox μ=0.01 +sh-rand,fedprox,0.01,456,0.23577119910342545,0.7652488556927443,3.245726613779716,0.4930315105161875,0.3353866790486508,False,False,True,,,,,ce
perfect_storm,Perfect-storm (Li recipe),#D08770,fedprox μ=0.01 +sh-rand,fedprox,0.01,123,0.21989631649661986,0.7400689579884955,3.365535947937861,0.4879895207585459,0.30342631669240006,False,False,True,,,,,ce
asymmetric_mu,Asymmetric per-client μ,#EBCB8B,fedprox μ=0.01,fedprox,0.01,42,0.20188245848740016,0.7301217376898594,3.6165684882197313,0.4648993277272836,0.2760942760942761,False,False,False,,,,,ce
asymmetric_mu,Asymmetric per-client μ,#EBCB8B,fedavg,fedavg,0.0,42,0.2478809384444888,0.8853921047476014,3.571844250322938,0.44968655693632137,0.24678710435485054,False,False,False,,,,,ce
asymmetric_mu,Asymmetric per-client μ,#EBCB8B,fedprox μ=0.01,fedprox,0.01,123,0.2147972647528355,0.7185946767733301,3.34545543492003,0.4971187437314074,0.323910146582905,False,False,False,,,,,ce
asymmetric_mu,Asymmetric per-client μ,#EBCB8B,"fedprox μ=0.01 μ_PC=(0.01,0)",fedprox,0.01,456,0.21601914737281086,0.8073197539849141,3.737260163292946,0.5243246514239032,0.3658768898051581,False,False,False,0.01,0.0,,,ce
asymmetric_mu,Asymmetric per-client μ,#EBCB8B,"fedprox μ=0.01 μ_PC=(0,0.01)",fedprox,0.01,123,0.23182674698678046,0.7693111095486771,3.3184743328712876,0.4550950450506401,0.2741880341880342,False,False,False,0.0,0.01,,,ce
asymmetric_mu,Asymmetric per-client μ,#EBCB8B,"fedprox μ=0.01 μ_PC=(0,0.01)",fedprox,0.01,456,0.22894732197882375,0.7664239044618909,3.347599342231138,0.4703902981948161,0.25098154691794267,False,False,False,0.0,0.01,,,ce
asymmetric_mu,Asymmetric per-client μ,#EBCB8B,fedprox μ=0.01,fedprox,0.01,456,0.19256367412591244,0.7234898031156021,3.757145818907312,0.4763586105598658,0.30997213346755953,False,False,False,,,,,ce
asymmetric_mu,Asymmetric per-client μ,#EBCB8B,"fedprox μ=0.01 μ_PC=(0.01,0)",fedprox,0.01,123,0.21470481274266662,0.7861274774920817,3.6614338889286606,0.4960684232656528,0.34589956584013604,False,False,False,0.01,0.0,,,ce
asymmetric_mu,Asymmetric per-client μ,#EBCB8B,fedavg,fedavg,0.0,123,0.23228038968184497,0.8553931639345488,3.6825888104724767,0.47537154800955134,0.2963826297159631,False,False,False,,,,,ce
asymmetric_mu,Asymmetric per-client μ,#EBCB8B,"fedprox μ=0.01 μ_PC=(0,0.01)",fedprox,0.01,42,0.22489831479416325,0.7877430857037065,3.5026633544350183,0.46527298961661306,0.2806861348528015,False,False,False,0.0,0.01,,,ce
asymmetric_mu,Asymmetric per-client μ,#EBCB8B,"fedprox μ=0.01 μ_PC=(0.01,0)",fedprox,0.01,42,0.2177743415754216,0.8083305552647119,3.711780503695213,0.465851264473457,0.2502947244326555,False,False,False,0.01,0.0,,,ce
asymmetric_mu,Asymmetric per-client μ,#EBCB8B,fedavg,fedavg,0.0,456,0.2434183148593787,0.8629203772591804,3.5450100694258944,0.4804353660263735,0.2805147536721695,False,False,False,,,,,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fednova,fednova,0.0,456,0.5402956089303163,0.3022697083821469,0.5594524615526381,0.49750545091568776,0.3314219816125829,False,False,False,,,,,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedprox μ=0.01 lr=2:1,fedprox,0.01,456,0.16238107026543175,0.5270715041376635,3.2458925370802185,0.4720847990396967,0.2617208672086721,False,False,False,,,0.01,0.005,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedavg lr=2:1,fedavg,0.0,456,0.1863610595652633,0.5941060616470436,3.18793026307617,0.44100129193165094,0.19222047793476363,False,False,False,,,0.01,0.005,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedprox μ=0.01 lr=2:1,fedprox,0.01,123,0.17090799592552924,0.5296719138920004,3.0991640328097785,0.4817915718761113,0.2827886710239651,False,False,False,,,0.01,0.005,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedprox μ=0.01,fedprox,0.01,42,0.2031125649904182,0.7384826155285373,3.635829302649864,0.49090114591931705,0.3095507026104578,False,False,False,,,,,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedavg lr=2:1,fedavg,0.0,123,0.19543249568123988,0.5890201283374263,3.0139313643016026,0.4202345042568318,0.15531135531135531,False,False,False,,,0.01,0.005,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fednova,fednova,0.0,123,0.4752661005220214,0.2452335860828857,0.5159921690470386,0.5023246853796366,0.35854211774409733,False,False,False,,,,,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedprox μ=0.01 lr=5:1,fedprox,0.01,123,0.14138221496989234,0.3691824598852701,2.611236922295271,0.38473057434021507,0.030428769017980636,False,False,False,,,0.01,0.002,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedavg lr=5:1,fedavg,0.0,123,0.16546860118716766,0.40589639879483963,2.4530116039097662,0.37178809293347337,0.03376623376623377,False,False,False,,,0.01,0.002,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedprox μ=0.01 lr=5:1,fedprox,0.01,42,0.13294211792961103,0.36899446294702914,2.7756024102339105,0.38079172155708846,0.06286484059272564,False,False,False,,,0.01,0.002,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedavg,fedavg,0.0,42,0.24924156052844154,0.8785276010701586,3.5248038056233715,0.47894693952011547,0.3060741037318786,False,False,False,,,,,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedavg lr=2:1,fedavg,0.0,42,0.18483200099405445,0.6011949695654408,3.2526562842588045,0.4135918367606634,0.14323479932708483,False,False,False,,,0.01,0.005,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedprox μ=0.01 lr=5:1,fedprox,0.01,456,0.13089129611079037,0.3627815749056689,2.7716248955056537,0.4117293002166934,0.11295992500585893,False,False,False,,,0.01,0.002,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fednova lr=5:1,fednova,0.0,42,0.486612769120125,0.23264076113885304,0.4780819080426216,0.5115284442067732,0.3756022815327518,False,False,False,,,0.01,0.002,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedavg lr=5:1,fedavg,0.0,456,0.15111964951141668,0.4036996709991482,2.6713909958390274,0.3914747468985338,0.07375175808720112,False,False,False,,,0.01,0.002,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedprox μ=0.01,fedprox,0.01,123,0.19524888959296646,0.7214776663556942,3.6951691139435003,0.5075223369567236,0.35201761629507294,False,False,False,,,,,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fednova lr=2:1,fednova,0.0,456,0.5393605545112233,0.3020476218598813,0.5600105890828473,0.544582634470576,0.4183216783216783,False,False,False,,,0.01,0.005,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fednova,fednova,0.0,42,0.48241303152691783,0.23075180854292016,0.47832830678838034,0.5279076891196571,0.3873215402150774,False,False,False,,,,,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedprox μ=0.01,fedprox,0.01,456,0.1940947735893542,0.7342438541252286,3.782914091641985,0.47559464115631955,0.283704251183926,False,False,False,,,,,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fednova lr=2:1,fednova,0.0,123,0.5302556316659206,0.3032723659020184,0.5719361526613459,0.5042057610237292,0.38098790819689726,False,False,False,,,0.01,0.005,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedprox μ=0.01 lr=2:1,fedprox,0.01,42,0.16610336412270738,0.5399558691894445,3.250722055156914,0.4308988843838706,0.20640451302472207,False,False,False,,,0.01,0.005,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedavg,fedavg,0.0,123,0.2512824384810605,0.8656316264345298,3.4448552460213953,0.4280145765040974,0.15384615384615383,False,False,False,,,,,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fednova lr=5:1,fednova,0.0,123,0.48810013042021855,0.23811545998388794,0.4878414184788026,0.5005786118174782,0.37980892840227876,False,False,False,,,0.01,0.002,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fednova lr=2:1,fednova,0.0,42,0.52716371731809,0.29867399070983314,0.566567805973668,0.5278490456072039,0.4183522334347158,False,False,False,,,0.01,0.005,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedavg,fedavg,0.0,456,0.2551365242366879,0.866327825131749,3.395546081548341,0.46504317326894473,0.2300469483568075,False,False,False,,,,,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fednova lr=5:1,fednova,0.0,456,0.4736947641972586,0.23689725071697718,0.500105275848747,0.498539895705044,0.3202205541655083,False,False,False,,,0.01,0.002,ce
asymmetric_lr,Asymmetric per-client LR (D1),#B48EAD,fedavg lr=5:1,fedavg,0.0,42,0.16050570373146783,0.40343859711499885,2.513546794511222,0.3608528954126406,0.0,False,False,False,,,0.01,0.002,ce
weighted_ce,FedProx × loss type (B2),#A3BE8C,fedprox μ=0.01 loss=weighted_ce,fedprox,0.01,42,0.26703438642298155,0.8194546642141763,3.0687233775060077,0.5060548870270566,0.359018862981399,False,False,False,,,,,weighted_ce
weighted_ce,FedProx × loss type (B2),#A3BE8C,fedprox μ=0.01,fedprox,0.01,42,0.20390239180560968,0.7365377852530817,3.6122076780504853,0.46203597454429296,0.28178763440860216,False,False,False,,,,,ce
weighted_ce,FedProx × loss type (B2),#A3BE8C,fedprox μ=0.01 loss=weighted_ce,fedprox,0.01,456,0.25490406519518144,0.8292686227442018,3.2532577387858694,0.515383178173538,0.36223092540657187,False,False,False,,,,,weighted_ce
weighted_ce,FedProx × loss type (B2),#A3BE8C,fedavg,fedavg,0.0,42,0.24732258401894447,0.8768782739532786,3.545484038312131,0.47807133210689784,0.29145499309433737,False,False,False,,,,,ce
weighted_ce,FedProx × loss type (B2),#A3BE8C,fedavg loss=weighted_ce,fedavg,0.0,42,0.3137775945045288,0.9657070225176587,3.077679985540588,0.4903417257145824,0.36061222512835417,False,False,False,,,,,weighted_ce
weighted_ce,FedProx × loss type (B2),#A3BE8C,fedprox μ=0.01 loss=weighted_ce,fedprox,0.01,123,0.25691366144890176,0.8143848030180744,3.1698773760228764,0.4880332112491444,0.31660029287901786,False,False,False,,,,,weighted_ce
weighted_ce,FedProx × loss type (B2),#A3BE8C,fedprox μ=0.01,fedprox,0.01,123,0.1971152841756758,0.7194434333681105,3.649861229060848,0.49444745569652504,0.2980722245866238,False,False,False,,,,,ce
weighted_ce,FedProx × loss type (B2),#A3BE8C,fedprox μ=0.01,fedprox,0.01,456,0.19921686441369013,0.7223380151156636,3.6258878847509095,0.47812516753364226,0.2919582222610672,False,False,False,,,,,ce
weighted_ce,FedProx × loss type (B2),#A3BE8C,fedavg,fedavg,0.0,123,0.23968197742671346,0.8603264744380605,3.5894500023520495,0.47504334753985056,0.28170594837261503,False,False,False,,,,,ce
weighted_ce,FedProx × loss type (B2),#A3BE8C,fedavg loss=weighted_ce,fedavg,0.0,123,0.3261962629190076,0.9924585698019998,3.0425197423197354,0.49413079237441193,0.33679587592371346,False,False,False,,,,,weighted_ce
weighted_ce,FedProx × loss type (B2),#A3BE8C,fedavg,fedavg,0.0,456,0.24881043897837551,0.867630736714024,3.487115493532131,0.476635410380637,0.28288659793814436,False,False,False,,,,,ce
weighted_ce,FedProx × loss type (B2),#A3BE8C,fedavg loss=weighted_ce,fedavg,0.0,456,0.33296661438423586,1.0159790066033731,3.0512939217111916,0.5313171955711359,0.4041950776024417,False,False,False,,,,,weighted_ce
