round,val_loss_mean,val_loss_std,val_macro_f1_mean,val_macro_f1_std,num_clients_evaluated
54,23.23013325804846,13.044195770151351,0.08402619111166904,0.10718987137321007,5
55,15.861141841219048,13.035611303106116,0.13403333759854427,0.12654180637922502,5
56,21.459113947415755,11.26245748321693,0.07779460808930426,0.11178367812007381,5
57,16.43065842884488,14.46701314144059,0.12431796305978575,0.1334306714601202,5
58,19.227424923372887,9.850198920230538,0.083032276579901,0.1091156538770956,5
59,18.20507778546152,9.577888031272341,0.07613776903491945,0.10551633500329458,5
60,27.975083009980374,16.62775759844623,0.08757168234532334,0.10581964771335328,5
61,26.85634125417631,6.867946390919801,0.02844873081190207,0.010111067535369712,5
62,14.991832365756732,7.887614715792823,0.08187989675088861,0.09985375337254325,5
63,3.552680738283654,2.1378210577402745,0.13938146449921396,0.11842194085758448,5
64,6.28577400853603,3.478863132659385,0.08197073232627264,0.10294547149255037,5
65,6.971456197679697,4.811961040435672,0.12844879112193813,0.12418269270566316,5
66,6.579602438573941,7.093808222193249,0.17301381817759978,0.12760475563683912,5
67,10.536747509556063,7.996064648626652,0.11655481132577401,0.13636955686286112,5
68,12.096183363628292,3.850080984596301,0.035432884225985874,0.021736686983335876,5
69,8.563420175650304,6.6540013267438125,0.133883204668332,0.12619562681710333,5
70,3.152718495157875,2.6406053342448645,0.16089985907624288,0.11288625014503902,5
71,4.986551690220476,2.075588385998251,0.07779523882372337,0.10971339677952296,5
72,7.715856268303701,3.44954068709446,0.08634536436488782,0.09970572573413954,5
73,6.415990488407975,4.216347372459752,0.12629152729517398,0.11016168313921783,5
74,8.56332795988408,4.556038968967772,0.0879791846135178,0.10587334124110506,5
75,7.685698246218985,5.794026558259938,0.1265456098298495,0.1332521460106434,5
76,7.485603123980529,3.239281527900525,0.07992942851923898,0.10507180879122441,5
77,8.728286956576028,6.6079273177317175,0.13220577115067025,0.12619484792391583,5
78,10.67668529094038,5.981077670917709,0.08291921395680674,0.10854685710095152,5
79,11.02249921435492,9.664333072919204,0.1277344968028185,0.12349352688404247,5
80,7.819398707050388,5.764051191745576,0.12160506545669866,0.12732244331357262,5
81,10.400928898917831,5.0505964971306625,0.07577500846566254,0.0956210504201502,5
82,6.329619249841151,5.914442448143897,0.17247886527037695,0.1346885080570346,5
83,8.470931045792751,6.3407276470843685,0.13698005990910653,0.13695570721984826,5
84,9.37864026571675,7.063782713783047,0.1331916594566637,0.13496230995167535,5
85,10.742707459947999,5.042600988269805,0.0882542744237386,0.1043360089237348,5
86,14.085667244482371,3.9361708628002776,0.06299688283206736,0.0384720733942647,5
87,10.829130488735135,6.032196371850203,0.09423930996060198,0.09624952487118016,5
88,6.026225481194965,3.92069782394169,0.10006254688013157,0.1210673727326046,5
