algorithm,seed,c0_lr,c1_lr,ratio_label,ratio_order,macro_f1,balanced_accuracy,rare_avg_f1,f1_actinic,f1_basal,f1_benign_kerat,f1_dermato,f1_melanoma,f1_mel_nevi,f1_vascular,file
fednova,123,0.01,0.01,1:1 (symmetric),0,0.5023246853796366,0.5377851458793234,0.35854211774409733,0.484472049689441,0.5161290322580645,0.5574572127139364,0.2641509433962264,0.3114754098360656,0.8825881497637222,0.5,test_at_best_fednova_mu0.0_E20_s123.json
fednova,456,0.01,0.01,1:1 (symmetric),0,0.49750545091568776,0.5090302159525787,0.3314219816125829,0.4583333333333333,0.5961538461538461,0.54337899543379,0.17543859649122806,0.27044025157232704,0.890406036651096,0.5483870967741935,test_at_best_fednova_mu0.0_E20_s456.json
fedprox,42,0.01,0.01,1:1 (symmetric),0,0.49090114591931705,0.5010256419211399,0.3095507026104578,0.5207100591715976,0.5463414634146342,0.5555555555555556,0.08,0.367170626349892,0.8850488354620586,0.48148148148148145,test_at_best_fedprox_mu0.01_E20_s42.json
fedprox,123,0.01,0.01,1:1 (symmetric),0,0.5075223369567236,0.5305976412548026,0.35201761629507294,0.49710982658959535,0.5619047619047619,0.5633187772925764,0.08,0.4046242774566474,0.8742701440249124,0.5714285714285714,test_at_best_fedprox_mu0.01_E20_s123.json
fedprox,456,0.01,0.01,1:1 (symmetric),0,0.47559464115631955,0.5033130991618205,0.283704251183926,0.5476190476190477,0.5025125628140703,0.5666666666666667,0.0,0.3325942350332594,0.861251457442674,0.5185185185185185,test_at_best_fedprox_mu0.01_E20_s456.json
fedprox,42,0.01,0.005,2:1,1,0.4308988843838706,0.4488645108714179,0.20640451302472207,0.48044692737430167,0.5196078431372549,0.5215605749486653,0.0,0.2926829268292683,0.8754633061527057,0.32653061224489793,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.005_s42.json
fedprox,123,0.01,0.005,2:1,1,0.4817915718761113,0.48094664682697374,0.2827886710239651,0.5131578947368421,0.5676855895196506,0.5626373626373626,0.0,0.27058823529411763,0.8806941431670282,0.5777777777777777,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.005_s123.json
fedprox,456,0.01,0.005,2:1,1,0.4720847990396967,0.49641293127122205,0.2617208672086721,0.5476190476190477,0.5446009389671361,0.5567765567765568,0.0,0.32682926829268294,0.8704344482891195,0.4583333333333333,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.005_s456.json
fedprox,42,0.01,0.002,5:1,2,0.38079172155708846,0.4116026031522768,0.06286484059272564,0.5142857142857142,0.5304347826086957,0.5454545454545454,0.0,0.1297709923664122,0.8867724867724868,0.058823529411764705,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.002_s42.json
fedprox,123,0.01,0.002,5:1,2,0.38473057434021507,0.4151418929803043,0.030428769017980636,0.5342465753424658,0.5853658536585366,0.5951859956236324,0.0,0.0912863070539419,0.8870292887029289,0.0,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.002_s123.json
fedprox,456,0.01,0.002,5:1,2,0.4117293002166934,0.42514353891957823,0.11295992500585893,0.5316455696202531,0.5412844036697247,0.5835095137420718,0.0,0.10358565737051793,0.8867858394672274,0.23529411764705882,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.002_s456.json
