source,partition,algorithm,mu,seed,unequal_E,drop_stragglers,file,std_last_K,mean_last_K,range_last_K,n_rounds
heterogeneity ladder,varied,fedprox,0.01,42,False,False,history_fedprox_mu0.01_E20_s42.csv,0.02028628440731153,0.4913657476472901,0.0767101956165881,150
heterogeneity ladder,varied,fednova,0.0,42,False,False,history_fednova_mu0.0_E20_s42.csv,0.036125370884917886,0.5213574787640233,0.10202824280858802,150
heterogeneity ladder,varied,fedavg,0.0,42,False,False,history_fedavg_mu0.0_E20_s42.csv,0.03824301316270002,0.5232023181590856,0.09825379962087094,150
heterogeneity ladder,varied,fedprox,0.01,42,False,False,history_fedprox_mu0.01_E20_s42.csv,0.0029509001414256405,0.6085917530376006,0.009363096810795613,150
heterogeneity ladder,varied,fedavg,0.0,42,False,False,history_fedavg_mu0.0_E20_s42.csv,0.001993188899404219,0.5986951376446631,0.006520663534858584,150
heterogeneity ladder,varied,fedprox,0.01,42,False,False,history_fedprox_mu0.01_E20_s42.csv,0.007279217527427368,0.6260451810147196,0.02265994676626959,150
heterogeneity ladder,varied,fednova,0.0,42,False,False,history_fednova_mu0.0_E20_s42.csv,0.005322177205348791,0.6009529426335861,0.014943677550584678,150
heterogeneity ladder,varied,fedavg,0.0,42,False,False,history_fedavg_mu0.0_E20_s42.csv,0.0016753619762188907,0.6270802307025263,0.0041494437357557645,150
heterogeneity ladder,varied,fedprox,0.01,42,False,False,history_fedprox_mu0.01_E20_s42.csv,0.09794007149378631,0.39207088331752415,0.22573317359592632,150
heterogeneity ladder,varied,fednova,0.0,42,False,False,history_fednova_mu0.0_E20_s42.csv,0.09085519600402246,0.447695031362038,0.2209943981054277,150
heterogeneity ladder,varied,fedavg,0.0,42,False,False,history_fedavg_mu0.0_E20_s42.csv,0.03925091576676157,0.4610650452253169,0.1299168377508091,150
heterogeneity ladder,varied,fedprox,0.01,42,False,False,history_fedprox_mu0.01_E20_s42.csv,0.004208587060848427,0.5503825899189717,0.013337692130151901,150
heterogeneity ladder,varied,fedavg,0.0,42,False,False,history_fedavg_mu0.0_E20_s42.csv,0.012168417989272134,0.5394481644563135,0.03872825844783667,150
