algorithm,round,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_count,val_loss_mean,val_loss_std,val_loss_count,val_balanced_accuracy_mean,val_balanced_accuracy_std,val_balanced_accuracy_count,val_accuracy_mean,val_accuracy_std,val_accuracy_count,train_loss_mean,train_loss_std,train_loss_count,val_f1_class_0_mean,val_f1_class_0_std,val_f1_class_0_count,val_f1_class_1_mean,val_f1_class_1_std,val_f1_class_1_count,val_f1_class_2_mean,val_f1_class_2_std,val_f1_class_2_count,val_f1_class_3_mean,val_f1_class_3_std,val_f1_class_3_count,val_f1_class_4_mean,val_f1_class_4_std,val_f1_class_4_count,val_f1_class_5_mean,val_f1_class_5_std,val_f1_class_5_count,val_f1_class_6_mean,val_f1_class_6_std,val_f1_class_6_count
fedavg,35,0.3788742016721565,0.0426359990659731,10,1.5351083243951007,0.0756265572782313,10,0.3933655451454046,0.023948201758630557,10,0.7274177467597208,0.010180563375763804,10,0.011521356110396789,0.001944034643419358,10,0.3250568443727305,0.12540279930888468,10,0.4333460390369982,0.1466010451211463,10,0.1552105631291245,0.2115205124746321,10,0.10133535430087152,0.14886141364929656,10,0.19710069163056423,0.10428436315279956,10,0.8707347120946995,0.004296760640815552,10,0.5693352071401072,0.07790028151012249,10
fedavg,36,0.39491627521046124,0.032040023999012804,10,1.4658295430072166,0.05696899591763456,10,0.41057185203555224,0.01884233536966342,10,0.7300099700897308,0.008976772624066013,10,0.013167965948613868,0.004014072054282717,10,0.2421304895517457,0.15954488719689972,10,0.38005116775931674,0.14557773077318825,10,0.33218666808213104,0.1673873886747015,10,0.2590960313957163,0.1421910187219105,10,0.09873426512967858,0.09562686417900901,10,0.872351901395135,0.006043546129933038,10,0.5798634031595051,0.06205292122736064,10
fedavg,37,0.3938250995501971,0.030325615033032077,10,1.4644702779390995,0.07884464004026782,10,0.4068102428406878,0.024887897116014558,10,0.7287138584247258,0.008105873030579414,10,0.012004496922956739,0.002552873658382571,10,0.323964685351831,0.09880589185293728,10,0.4676620304151797,0.0580299152449303,10,0.16386281707601008,0.19622637483059374,10,0.14914951714951713,0.153682363655523,10,0.2167697906948114,0.0909259081648401,10,0.8709524285646101,0.00572327605878551,10,0.5644144275994207,0.07265998017972272,10
fedavg,38,0.39788743532357806,0.04044943864155533,10,1.4903312304678373,0.07761398151319576,10,0.40814491361329763,0.03234708231946665,10,0.7299102691924226,0.008504823545331868,10,0.01104397925166839,0.0034196146672930408,10,0.24978226229804257,0.12783295755159796,10,0.39592798370762183,0.1176687677727497,10,0.33459352657460345,0.14109576777747448,10,0.23490549522821014,0.1470458149136272,10,0.08608189352235532,0.09608846067390357,10,0.871703914543833,0.004867796802123982,10,0.6122169713903804,0.09218617227586251,10
fedavg,39,0.3928552760561773,0.041596548695786946,10,1.4873175930109244,0.13299313642036623,10,0.409110128325585,0.03252712913385395,10,0.7311066799601196,0.010789932279071697,10,0.01222007984097652,0.005279427010495264,10,0.33159174988113943,0.08843289700434157,10,0.4601104357149941,0.054843115825901276,10,0.1529675677772225,0.19950977829495,10,0.11975691963297645,0.16607507172312183,10,0.24846912943561214,0.08705733051469888,10,0.8763052204153869,0.007083116081744823,10,0.5607859095359096,0.09074470907889742,10
fedavg,40,0.3714724926630456,0.05191101534769992,10,1.5098963602827649,0.07966836250573163,10,0.3931899511758996,0.03635943287876192,10,0.7272183449651047,0.011114153521344493,10,0.01099046220121211,0.0022394930008757937,10,0.2085465882241409,0.14321353958642077,10,0.3348553581852024,0.18903210059857428,10,0.3612749976024846,0.13301956673311524,10,0.2649512286349316,0.16704059022261988,10,0.03154868416653909,0.05638851677158942,10,0.8727356671821885,0.005451770411227403,10,0.526394924645832,0.13096771287449752,10
fedavg,41,0.37340519384831794,0.05445671235892141,10,1.5423753656454362,0.10636462186915663,10,0.3932597792316762,0.03671092497426646,10,0.7245264207377866,0.01139724639334635,10,0.010239262321853519,0.002750023215800325,10,0.2792514659076695,0.16052320232938552,10,0.4397530542635512,0.09358994781802062,10,0.12637163609459662,0.17038663665212078,10,0.13424610477242055,0.16713935496658336,10,0.22969747637384383,0.07967021025477218,10,0.8725759787225078,0.004919277190523457,10,0.5319406408036359,0.14709826978420973,10
fedavg,42,0.3889663780766427,0.05741833226650077,10,1.4999476314660678,0.06011619059148077,10,0.4016271868730885,0.039743324931593854,10,0.7309072781655035,0.010269676396265668,10,0.0106949863714117,0.0036650364390984885,10,0.28214467062761583,0.15338899514050056,10,0.3822138000340643,0.1787805917486058,10,0.36546851262050684,0.13929147042754908,10,0.23558437168428142,0.12628288389071776,10,0.04699926931695269,0.06756353915184682,10,0.8736244204708447,0.0054413137433854805,10,0.5367296017822334,0.21860971193900128,10
fedavg,43,0.3752436225942432,0.04723533508192451,10,1.5199222851726613,0.10201550996757312,10,0.3877427354593631,0.031830545259922655,10,0.7255234297108675,0.013847302536763008,10,0.010448053918107231,0.0021743785422798263,10,0.26117421944816244,0.13973768807304185,10,0.42714918492302906,0.08448089928888618,10,0.11935163236020696,0.17462747233132211,10,0.16212002946125825,0.18200769606734782,10,0.2440863413349806,0.08731032751631453,10,0.8736376081449825,0.003553590248068502,10,0.5391863424870826,0.12511062905090428,10
fedavg,44,0.4152192120650735,0.04039920559484465,10,1.4874743525076244,0.07023159844946193,10,0.41772464396586173,0.03255829451450567,10,0.7348953140578265,0.009705700138068867,10,0.01008288113001679,0.0017303690703811031,10,0.3089836309269688,0.1262615666404357,10,0.46107567558101054,0.07164653327544813,10,0.3569555133750387,0.1482730608850642,10,0.3113924384750156,0.10935879386875923,10,0.052526142439935516,0.09081434966577596,10,0.8747922334312384,0.005407477718587754,10,0.5408088502263075,0.1874440626015863,10
fedavg,45,0.3760132425476741,0.0327452936132399,10,1.494137994610776,0.05909650640457903,10,0.3956181326321841,0.025399749220866727,10,0.7268195413758723,0.010058322333281189,10,0.00873187955659732,0.002136441322974169,10,0.25036830827033846,0.13791836054766712,10,0.42330487070613804,0.10180241308732116,10,0.13218377679007082,0.19983805670069896,10,0.16310060866451842,0.19172537084649952,10,0.22969586845760173,0.09727834154115271,10,0.8757914834899403,0.006728075172503249,10,0.557647781455111,0.0849927842291014,10
fedavg,46,0.40535395848877454,0.04569061010888527,10,1.4969400167881193,0.07975320907305981,10,0.41209263635493143,0.03367509862033956,10,0.7313060817547358,0.00964634448235293,10,0.00872266224828068,0.0018500794836597428,10,0.32465955969037713,0.12217339331944947,10,0.41856525619008994,0.08563637717100303,10,0.3314476134283705,0.18002889981422726,10,0.26911298088497276,0.16644497429127716,10,0.05603924641398814,0.09125121777648373,10,0.8732345642557041,0.005814292969118605,10,0.5644184885579188,0.17428748384670975,10
fedavg,47,0.37695903810568615,0.056114211031761646,10,1.523702911627019,0.1134658617116352,10,0.3979783347230654,0.038385724361581885,10,0.7271186440677966,0.012497348290061213,10,0.00866464995784966,0.002259846682503762,10,0.28019043053599224,0.15797126770143616,10,0.4089920783052946,0.15892102111070128,10,0.13320111819058125,0.1847585668867313,10,0.12086139666784826,0.16270899852589485,10,0.23728037869729426,0.11910060010415882,10,0.8750759239907175,0.0035095729940482633,10,0.5831119403520751,0.10077217233652229,10
